Inner Device Heat Gains.Time;Time span;Living Room Light (100W) [Watt];Kitchen Light (100W) [Watt];Cellar Light (200W) [Watt];Bathroom Light (100W) [Watt];Bathroom Mirror Light 10 W (LED) [Watt];Bedroom Light (200W) [Watt];Egg Cooker / Russell Hobbs 14048-56 Stylo [Watt];Juicer / Moulinex Vitafruit [Watt];Kitchen radio / AEG KRC 4323 CD [Watt];Single Stove Plate [Watt];Nespresso Coffee Machine, Single Cup [Watt];Food Slicer / DOMO Schneidemaschine DO521S [Watt];Toaster Salco MT 400 [Watt];Electric Kettle / Petra WK288 1.5L [Watt];AEG PN 2200 RX 4935365097 [Watt];Hand-held Circular Saw / Bosch PKS 46 [Watt];Skil 4270 [Watt];Polishing Machine / Flex L 602 VR [Watt];Hedge Trimmer / Bosch AHS 550-24 ST [Watt];Atika LH 2500 G [Watt];Lawn Mower / Sabo 32-EL [Watt];Energy Saving Lamp / EL-REF 11 E27 [Watt];CD/DVD Player / Philips DVDR 725 H [Watt];TV Medion MD20123_DE_A [Watt];SAT Receiver / Kathrein UFS913 [Watt];Miele DG 1450 [Watt];Handmixer / Phillips Robust HR 1581 [Watt];Extractor Hood / Miele DA 429-4 [Watt];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power [Watt];Microwave / Panasonic NN 5259 [Watt];Dishwasher NEFF SD6P1F (2011) [Watt];Laptop Sony Vaio SVE151G11M [Watt];Steam Iron / Phillips GC 4410 [Watt];Washing Machine / Bosch WAE 28143 [Watt];AEG NM 2701 Premium [Watt];Hair Dryer Braun Silencio 1250 [Watt];Canister vacuum cleaner / Siemens VS 06 G 1831 [Watt];Siemens Kl 20 LA 65 (A+) [Watt];Electric Razor Braun Cruzer 5 [Watt];Electric Toothbrush Dondodent Professional Clean [Watt];Router O2 Box 6431 [Watt];
732;12:12:00;0;0;0;0;0;0;0;0;1,1851989135681686;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9516629008623115;0,2499111513191056;1,1981920054532764;0;0;0;0;10,272685357173684;0;2,4610606618959223;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
733;12:13:00;0;0;0;0;0;0;0;0;1,1853288531428903;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9516951187262537;0,2499564218604278;1,1982537055473268;0;0;0;0;10,273830222668321;0;2,461264535690829;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
734;12:14:00;0;0;0;0;0;0;0;0;1,185497308483446;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9517244496922994;0,2499588010299168;1,1986590659454845;0;0;0;0;10,274638451753757;0;2,4614897456812286;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
735;12:15:00;0;0;0;0;0;0;0;0;1,185507356077337;0;0;0;0;0;0;0;0;0;0;0;0;0;0,951810901347054;0,2500154445939354;1,1986997327479587;0;0;0;0;10,275308357466297;0;2,461595000223894;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
736;12:16:00;0;0;0;0;0;0;0;0;1,1856709238072376;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9519512179273644;0,25003748121315145;1,1988236642308139;0;0;0;0;10,275928944118515;0;2,461648548450094;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
737;12:17:00;0;0;0;0;0;0;0;0;1,1858081084500183;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9520961540136;0,2500403147555383;1,198858854768051;0;0;0;0;10,276304233266371;0;2,46165567867283;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
738;12:18:00;0;0;0;0;0;0;0;0;1,1859074478890241;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9521321599356404;0,2500679346035059;1,1989399099924767;0;0;0;0;10,277263799745848;0;2,462044458442397;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
739;12:19:00;0;0;0;0;0;0;0;0;1,1859107210739914;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9521410923200254;0,2500685695853785;1,1990699243241634;0;0;0;0;10,277908557361199;0;2,4620484574307304;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
740;12:20:00;0;0;0;0;0;0;0;0;1,1859326405851214;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9521637380735797;0,25012629429695515;1,1990724903250964;0;0;0;0;10,278973251055474;0;2,4620523950869617;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
741;12:21:00;0;0;0;0;0;0;0;0;1,186325047851061;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9522780733684901;0,2501524451704393;1,1992873428184903;0;0;0;0;10,27999907362639;0;2,4622481190324392;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
742;12:22:00;0;0;0;0;0;0;0;0;1,1863489040234163;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9523952772472902;0,25015964618539954;1,199383085468042;0;0;0;0;10,280058140942101;0;2,4631309942656032;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
743;12:23:00;0;0;0;0;0;0;0;0;1,1866597952128346;0;0;0;0;0;0;0;0;0;0;0;0;0;0,952489561599109;0,25017387827108073;1,1994424867919289;0;0;0;0;10,280197173698129;0;2,4632934505580475;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
744;12:24:00;0;0;0;0;0;0;0;0;1,1868463478485085;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9526458189225081;0,250195029012464;1,1994653407583424;0;0;0;0;10,28069312212929;0;2,463515568744028;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
745;12:25:00;0;0;0;0;0;0;0;0;1,187081118168269;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9526854910170206;0,25019790485201304;1,1996394831894923;0;0;0;0;10,280952993851058;0;2,463584010700698;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
746;12:26:00;0;0;0;0;0;0;0;0;1,1872127873640093;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9527885617725292;0,2501994608658456;1,200382579336002;0;0;0;0;10,28120034352377;0;2,463611652242236;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
747;12:27:00;0;0;0;0;0;0;0;0;1,1873154983942151;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9528241993889073;0,2502271316774583;1,2004171848316736;0;0;0;0;10,281559148918289;0;2,4637625837448427;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
748;12:28:00;0;0;0;0;0;0;0;0;1,1874180995837684;0;0;0;0;0;0;0;0;0;0;0;0;0;0,952941920373313;0,25025757365671836;1,2004903613577735;0;0;0;0;10,282624248243833;0;2,463810843419049;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
749;12:29:00;0;0;0;0;0;0;0;0;1,1878186864218108;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9530408567916735;0,25028916917997474;1,2006935798661782;0;0;0;0;10,284894861722474;0;2,4638592625618454;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
750;12:30:00;0;0;0;0;0;0;0;0;1,187946241150527;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9530575794911575;0,25032617219570175;1,2007176560429333;0;0;0;0;10,28496457393784;0;2,4640648826149403;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
751;12:31:00;0;0;0;0;0;0;0;0;1,1879894080062394;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9530844310055621;0,25034091614390785;1,2007848388019255;0;0;0;0;10,285758214073834;0;2,464145674483714;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
752;12:32:00;0;0;0;0;0;0;0;0;1,188241561266007;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9530879871491362;0,25036737002453274;1,200844620062073;0;0;0;0;10,28584553218046;0;2,464179117660106;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
753;12:33:00;0;0;0;0;0;0;0;0;1,1884310827573679;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9532553956287205;0,25037123311481757;1,2009187884029449;0;0;0;0;10,286134692333336;0;2,4647833431722304;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
754;12:34:00;0;0;0;0;0;0;0;0;1,1885106173479487;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9533247147444006;0,250385274669591;1,2009709383489389;0;0;0;0;10,286225483368037;0;2,464843675588302;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
755;12:35:00;0;0;0;0;0;0;0;0;1,188557282454761;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9533514478103382;0,2503993761877151;1,201061266752028;0;0;0;0;10,286593183861623;0;2,464906740390669;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
756;12:36:00;0;0;0;0;0;0;0;0;1,188585710749628;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9533736799521387;0,2504178760377949;1,2011307188467562;0;0;0;0;10,288782822623059;0;2,4649201008911676;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
757;12:37:00;0;0;0;0;0;0;0;0;1,188594674704439;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9534664512023595;0,2504683641433993;1,2011983068824215;0;0;0;0;10,289011352253153;0;2,4651133473014037;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
758;12:38:00;0;0;0;0;0;0;0;0;1,1887938282791046;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9535343029644494;0,25047517757789395;1,201215343607662;0;0;0;0;10,289282764626119;0;2,4651606162731907;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
759;12:39:00;0;0;0;0;0;0;0;0;1,188938794498813;0;0;0;0;0;0;0;0;0;0;0;0;0;0,953631316565284;0,2505286396059344;1,2012809237281499;0;0;0;0;10,29143139354305;0;2,465385823810372;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
760;12:40:00;0;0;0;0;0;0;0;0;1,1890143565744207;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9538555960370732;0,2505380776483069;1,2013449900751276;0;0;0;0;10,295759896502947;0;2,4654094485953064;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
761;12:41:00;0;0;0;0;0;0;0;0;1,189050441438072;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9540752476539106;0,2505443165048651;1,2013856987037819;0;0;0;0;10,296787520797736;0;2,4654215055699376;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
762;12:42:00;0;0;0;0;0;0;0;0;1,1890692261791822;0;0;0;0;0;0;0;0;0;0;0;0;0;0,95418834898232;0,2505615566180861;1,201447651761258;0;0;0;0;10,297344900619803;0;2,466070392542191;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
763;12:43:00;0;0;0;0;0;0;0;0;1,1891216526543165;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9542774879854048;0,2505719162447509;1,2014572703291646;0;0;0;0;10,297494672607069;0;2,4668359485422386;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
764;12:44:00;0;0;0;0;0;0;0;0;1,189175138915057;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9542951509356017;0,250577672687637;1,201544630886112;0;0;0;0;10,298758889436847;0;2,4671100124277667;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
765;12:45:00;0;0;0;0;0;0;0;0;1,1892054625007626;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9542954888839277;0,2506225681331938;1,2016962536539553;0;0;0;0;10,300653210392616;0;2,467162660123293;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
766;12:46:00;0;0;0;0;0;0;0;0;1,1892984286371056;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9544411186816618;0,250634958169886;1,201760103344673;0;0;0;0;10,302473139994012;0;2,467284479053535;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
767;12:47:00;0;0;0;0;0;0;0;0;1,1893338680429228;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9544933866828713;0,25064904992306175;1,2019836158194717;0;0;0;0;10,302889742069999;0;2,467538551445426;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
768;12:48:00;0;0;0;0;0;0;0;0;1,1893375711935978;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9545494200162556;0,2506490940606739;1,2022225572929666;0;0;0;0;10,303545690370488;0;2,4678014537642095;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
769;12:49:00;0;0;0;0;0;0;0;0;1,1893617538293046;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9545772882312565;0,2506787799921033;1,2022306445628375;0;0;0;0;10,30417869852328;0;2,4679732068545666;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
770;12:50:00;0;0;0;0;0;0;0;0;1,1894583446976197;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9546706938545372;0,25068026881882227;1,2022552654794552;0;0;0;0;10,305906141932489;0;2,4683074146122093;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
771;12:51:00;0;0;0;0;0;0;0;0;1,189461147711894;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9546745855804657;0,25068372070411443;1,2022858024864331;0;0;0;0;10,307206815554846;0;2,468314367189833;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
772;12:52:00;0;0;0;0;0;0;0;0;1,1894645123378138;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9546930677753614;0,2507446166401294;1,2024061568774596;0;0;0;0;10,308666295425446;0;2,468419679356452;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
773;12:53:00;0;0;0;0;0;0;0;0;1,1895436504836305;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9547972201833534;0,2507675743034622;1,2024167794846723;0;0;0;0;10,310682251269723;0;2,468509866168024;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
774;12:54:00;0;0;0;0;0;0;0;0;1,1895840623157397;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9548354605287168;0,25080590868438185;1,2024283678592635;0;0;0;0;10,31158702254998;0;2,468848457827017;0;0;0;0;0;0;0,932962573770492;0,213529147540984;6,40373704918033;
775;12:55:00;0;0;0;0;0;0;0;0;1,1896761469174684;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9549347771712674;0,25081140519163037;1,2024944528134494;0;0;0;0;10,311659087639477;0;2,4688915782917595;0;0;0;0;0;0;0,932962573770492;0,21365668852459;6,40373704918033;
776;12:56:00;0;0;0;0;0;0;0;0;1,1897725768312404;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9549375275437649;0,2508608363112672;1,202639811588387;0;0;0;0;10,312117482872926;0;2,4689763391999953;0;0;0;0;0;0;0,932962573770492;0,21365668852459;6,40373704918033;
777;12:57:00;0;0;0;0;0;0;0;0;1,1898624787975247;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9549809491904095;0,25090754556304834;1,2030246905838773;0;0;0;0;10,312411990375324;0;2,4697261175013154;0;0;0;0;0;0;0,932962573770492;0,21365668852459;6,40373704918033;
778;12:58:00;0;0;0;0;0;0;0;0;1,1901752776698196;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9551381768653432;0,25092555484242357;1,2030650205966025;0;0;0;0;10,312512172442542;0;2,4700771421412284;0;0;0;0;0;0;0,932962573770492;0,21365668852459;6,40373704918033;
779;12:59:00;0;0;0;0;0;0;0;0;1,1902335067136538;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9551404600772281;0,2509379637412971;1,2030741148036324;0;0;0;0;10,313102373320088;0;2,470658926906646;0;0;0;0;0;0;0,932962573770492;0,21365668852459;6,40373704918033;
780;13:00:00;0;0;0;0;0;0;0;0;1,1903789571225216;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9551486298534786;0,2509528920029698;1,2032482913781248;0;0;0;0;10,313785301871201;0;2,470669678832943;0;0;0;0;0;0;0,932962573770492;0,21365668852459;6,40373704918033;
781;13:01:00;0;0;0;0;0;0;0;0;1,1903985618160562;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9552435422295449;0,2509540531504687;1,2033054940058165;0;0;0;0;10,316429304823073;0;2,4707400986764703;0;0;0;0;0;0;0,932962573770492;0,21365668852459;6,40373704918033;
782;13:02:00;0;0;0;0;0;0;0;0;1,1905018122001032;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9553897575196503;0,2509632687025246;1,203384122378441;0;0;0;0;10,31753552190933;0;2,470763554103391;0;0;0;0;0;0;0,932962573770492;0,21365668852459;6,40373704918033;
783;13:03:00;0;0;0;0;0;0;0;0;1,1905785336244497;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9554802179345696;0,2509655668506322;1,2034362159009395;0;0;0;0;10,317668854756526;0;2,4708707785013377;0;0;0;0;0;0;0,932962573770492;0,21365668852459;6,40373704918033;
784;13:04:00;0;0;0;0;0;0;0;0;1,1906541402501944;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9555803338017536;0,25097027529021293;1,2035497055979951;0;0;0;0;10,318107668925977;0;2,470956903972088;0;0;0;0;0;0;0,932962573770492;0,21365668852459;6,40373704918033;
785;13:05:00;0;0;0;0;0;0;0;0;1,1906733674040066;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9556091570771533;0,2509817605074955;1,203565550449429;0;0;0;0;10,322152392903424;0;2,4713309379286126;0;0;0;0;0;0;0,932962573770492;0,21365668852459;6,40373704918033;
786;13:06:00;0;0;0;0;0;0;0;0;1,1907069945523703;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9557416194403532;0,25099997681982655;1,2036137707673766;0;0;0;0;10,323346342508698;0;2,4713875272550543;0;0;0;0;0;0;0,932962573770492;0,21365668852459;6,40373704918033;
787;13:07:00;0;0;0;0;0;0;0;0;1,1908769830101156;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9557449301206518;0,2510110278533128;1,203820093777294;0;0;0;0;10,323619576295723;0;2,471431421041359;0;0;0;0;0;0;0,932962573770492;0,21365668852459;6,40373704918033;
788;13:08:00;0;0;0;0;0;0;0;0;1,191045537746564;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9557942743859262;0,2510178142991544;1,2038840437479155;0;0;0;0;10,326643938517256;0;2,4714905979580224;0;0;0;0;0;0;0,932962573770492;0,21365668852459;6,40373704918033;
789;13:09:00;0;0;0;0;0;0;0;0;1,19115537533095;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9558370487244128;0,25106445138564404;1,2038879593612557;0;0;0;0;10,32678538796124;0;2,47194357537302;0;0;0;0;0;0;0,932962573770492;0,21365668852459;6,40373704918033;
790;13:10:00;0;0;0;0;0;0;0;0;1,1911868062353874;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9560975787633023;0,25108987163345803;1,2040021769737896;0;0;0;0;10,330747916056406;0;2,472178430436378;0;0;0;0;0;0;0,932962573770492;0,21365668852459;6,40373704918033;
791;13:11:00;0;0;0;0;0;0;0;0;1,191393844832472;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9561879200203628;0,25110816673849073;1,2040952136189513;0;0;0;0;10,33082296374549;0;2,47243989001542;0;0;0;0;0;0;0,932962573770492;0,21365668852459;6,40373704918033;
792;13:12:00;0;0;0;0;0;0;0;0;1,1914750131606402;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9563332961593329;0,2511685839875834;1,2042059463504482;0;0;0;0;10,331877513427868;0;2,473168578270606;0;0;0;0;0;0;0,932962573770492;0,21365668852459;6,40373704918033;
793;13:13:00;0;0;0;0;0;0;0;0;1,191477780529123;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9564112103707612;0,25123581419551094;1,2042089983451951;0;0;0;0;10,333559567864398;0;2,4733153536272123;0;0;0;0;0;0;0,932962573770492;0,21365668852459;6,40373704918033;
794;13:14:00;0;0;0;0;0;0;0;0;1,1915589377312834;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9565523038584344;0,2513230896484076;1,2047812402074487;0;0;0;0;10,33574409541566;0;2,4736710904318846;0;0;0;0;0;0;0,932962573770492;0,21365668852459;6,40373704918033;
795;13:15:00;0;0;0;0;0;0;0;0;1,1915958134300788;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9565859794198404;0,25135577104827533;1,2048081629539948;0;0;0;0;10,33594586716673;0;2,4738962173269163;0;0;0;0;0;0;0,932962573770492;0,21365668852459;6,40373704918033;
796;13:16:00;0;0;0;0;0;0;0;0;1,1917040261288447;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9566059029959254;0,2513783725831006;1,2048815522453853;0;0;0;0;10,337715745434167;0;2,4739344978158946;0;0;0;0;0;0;0,932962573770492;0,21365668852459;6,40373704918033;
797;13:17:00;0;0;0;0;0;0;0;0;1,1919028943754795;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9566076483194859;0,2513812796928113;1,2049459355087115;0;0;0;0;10,338095839808169;0;2,4741138929811948;0;0;0;0;0;0;0,932962573770492;0,21365668852459;6,40373704918033;
798;13:18:00;0;0;0;0;0;0;0;0;1,192009578138526;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9568296729693323;0,2513931714391691;1,2049540870312265;0;0;0;0;10,33853915360966;0;2,474216713850747;0;0;0;0;0;0;0,932962573770492;0,21365668852459;6,40373704918033;
799;13:19:00;0;0;0;0;0;0;0;0;1,1920097047604912;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9568491102326492;0,25142421322807806;1,205130503011104;0;0;0;0;10,343087006164241;0;2,474303130300852;0;0;0;0;0;0;0,932962573770492;0,21365668852459;6,40373704918033;
800;13:20:00;0;0;0;0;0;0;0;0;1,1921302519854737;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9569107843229582;0,2514372366449495;1,2053123592890045;0;0;0;0;10,344380109899785;0;2,4746007985703873;0;0;0;0;0;0;0,932962573770492;0,21365668852459;6,40373704918033;
801;13:21:00;0;0;0;0;0;0;0;0;1,1921422334713954;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9570295254283536;0,2514861992897605;1,2053176211095116;0;0;0;0;10,344453958434187;0;2,474646935200159;0;0;0;0;0;0;0,932962573770492;0,21365668852459;6,40373704918033;
802;13:22:00;0;0;0;0;0;0;0;0;1,192301384046197;0;0;0;0;0;0;0;0;0;0;0;0;0;0,957065785795018;0,251559332684323;1,2054046480417642;0;0;0;0;10,345415274137904;0;2,4746796175835506;0;0;0;0;0;0;0,932962573770492;0,21365668852459;6,40373704918033;
803;13:23:00;0;0;0;0;0;0;0;0;1,1923559271420086;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9571240716352619;0,25172616143908116;1,2054851704417127;0;0;0;0;10,34580161137751;0;2,4747765179969443;0;0;0;0;0;0;0,932962573770492;0,21365668852459;6,40373704918033;
804;13:24:00;0;0;0;0;0;0;0;0;1,1924921703542117;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9572615766245207;0,2517363036057438;1,2054977294699512;0;0;0;0;10,34636939336821;0;2,4748699791450712;0;0;0;0;0;0;0,932962573770492;0,21365668852459;6,40373704918033;
805;13:25:00;0;0;0;0;0;0;0;0;1,1931972960792772;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9573015870346375;0,2517735705963446;1,2056166373391872;0;0;0;0;10,350272816771103;0;2,474933032273818;0;0;0;0;0;0;0,932962573770492;0,21365668852459;6,40373704918033;
806;13:26:00;0;0;0;0;0;0;0;0;1,1934245770699283;0;0;0;0;0;0;0;0;0;0;0;0;0;0,957315934179;0,2517990745231286;1,205797950984816;0;0;0;0;10,351137061391901;0;2,4751175776050878;0;0;0;0;0;0;0,933151459016393;0,21365668852459;6,40373704918033;
807;13:27:00;0;0;0;0;0;0;0;0;1,1934895100459364;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9573253312599556;0,25180925044108604;1,2058193417211502;0;0;0;0;10,352508674660832;0;2,475166759346266;0;0;0;0;0;0;0,933151459016393;0,21365668852459;6,40373704918033;
808;13:28:00;0;0;0;0;0;0;0;0;1,193528110374538;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9573547354193215;0,2518159206291711;1,205858280625966;0;0;0;0;10,354909814220905;0;2,4753807178330933;0;0;0;0;0;0;0,933151459016393;0,21365668852459;6,40373704918033;
809;13:29:00;0;0;0;0;0;0;0;0;1,193554850099244;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9574007995100882;0,25185740349476826;1,2059120520269528;0;0;0;0;10,357204640473169;0;2,4756124771363592;0;0;0;0;0;0;0,933151459016393;0,21365668852459;6,40373704918033;
810;13:30:00;0;0;0;0;0;0;0;0;1,1939433629872072;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9574132947496793;0,2518757162670811;1,2059832797872214;0;0;0;0;10,359033013484886;0;2,475834305813748;0;0;0;0;0;0;0,933151459016393;0,21365668852459;6,40373704918033;
811;13:31:00;0;0;0;0;0;0;0;0;1,1940408179981652;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9575725964304155;0,25200550803917504;1,2059953825158751;0;0;0;0;10,360972797876315;0;2,475899659831298;0;0;0;0;0;0;0,933151459016393;0,21365668852459;6,40373704918033;
812;13:32:00;0;0;0;0;0;0;0;0;1,1941400427737545;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9576534911729906;0,25201777723310514;1,2060009212698573;0;0;0;0;10,361299088714055;0;2,4760116811226114;0;0;0;0;0;0;0,933151459016393;0,21365668852459;6,40373704918033;
813;13:33:00;0;0;0;0;0;0;0;0;1,1942582696724457;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9576857291643726;0,2520194097633551;1,206178622498489;0;0;0;0;10,361650883602739;0;2,4761464072845607;0;0;0;0;0;0;0,933151459016393;0,21365668852459;6,40373704918033;
814;13:34:00;0;0;0;0;0;0;0;0;1,1945338263107637;0;0;0;0;0;0;0;0;0;0;0;0;0;0,957692768880494;0,25205065110302194;1,2062430061367233;0;0;0;0;10,362327136938193;0;2,4761965945910474;0;0;0;0;0;0;0,933151459016393;0,21365668852459;6,40373704918033;
815;13:35:00;0;0;0;0;0;0;0;0;1,1946200844536956;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9577342418766853;0,2520964846351344;1,2064670730539266;0;0;0;0;10,36802327268768;0;2,476716896718142;0;0;0;0;0;0;0,933151459016393;0,21365668852459;6,40373704918033;
816;13:36:00;0;0;0;0;0;0;0;0;1,1947669264333631;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9577570493419548;0,2520979265920826;1,2065885778730203;0;0;0;0;10,368294951192864;0;2,4767810097280605;0;0;0;0;0;0;0,933151459016393;0,21365668852459;6,40373704918033;
817;13:37:00;0;0;0;0;0;0;0;0;1,1948129773312777;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9578721422783908;0,25211165757037934;1,206715753399439;0;0;0;0;10,369661103432968;0;2,4768442715185004;0;0;0;0;0;0;0,933151459016393;0,21365668852459;6,40373704918033;
818;13:38:00;0;0;0;0;0;0;0;0;1,194840593064902;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9579199220630803;0,25213037814380923;1,2067694973342133;0;0;0;0;10,371727952312899;0;2,476969249976695;0;0;0;0;0;0;0,933151459016393;0,21365668852459;6,40373704918033;
