Inner Device Heat Gains.Time;Calender;Bathroom Light (20W);Bathroom Mirror Light 10 W (LED);Kitchen Light (20W);Cellar Light (20W);Living Room Light (Energy Saving Lamp, 20W);Bedroom Light (20W);Children Room Light Device (20W);AFK BM-2N;Eye Glass Cleaner Grundig UC 5020;Clatronic MS 3249 Milk Foamer;Nespresso Coffee Machine, Single Cup;AEG PN 2200 RX 4935365097;Hand-held Circular Saw / Bosch PKS 46;Skil 4270;Polishing Machine / Flex L 602 VR;Dishwasher NEFF SD6P1F (2011);Christopeit Treadmill TM 2 Pro;Lawn Mower / Sabo 32-EL;Digitalpiano / Kawai CN-23;Lamp Ikea V1017 Jansjo;AEG SB 2E 650 R;Cordless Screwdriver / Bosch PSR 18 LI-2;Electric Kettle / Petra WK288 1.5L;Energy Saving Lamp / EL-REF 11 E27;CD/DVD Player / Philips DVDR 725 H;TV Medion MD20123_DE_A;SAT Receiver / Kathrein UFS913;Egg Cooker / Russell Hobbs 14048-56 Stylo;Juicer / Moulinex Vitafruit;Kitchen radio / AEG KRC 4323 CD;Single Stove Plate;Food Slicer / DOMO Schneidemaschine DO521S;Toaster Salco MT 400;PC / Acer 8400;PC Monitor / Fujitsu Siemens Scaleoview D19-1;Epson Stylus Color 860;TASKalfa 180;Canon CanoScan LIDE 110;TFT Monitor Samsung S27C750P;Active Speaker Trust Tytan 2.1;Gaming Computer;Cell Phone Samsung Charging;Miele DG 1450;Handmixer / Phillips Robust HR 1581;Westinghouse Fanaway;Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front right- full power;Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power;Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;Microwave / Panasonic NN 5259;Kitchen Machine Bosch UM4VE2B;Extractor Hood / Miele DA 429-4;Miele DA 61;Deep Fryer / DeLonghi F 28311.W Rotofritteuse;Ricecooker / Tristar RK-6112;Steam Cooker / Phillips HD9140;Immersion Blender Noah Hit Top;Fondue / Unold 48746 Asia;Bauknecht GTE 260;Dryer / Miele T 8626 WP;Electronic Hometrainer / Kettler Satura E;Hair Dryer Braun Silencio 1250;Laptop Sony Vaio SVE151G11M;Steam Iron / Phillips GC 4410;Washing Machine / Bosch WAE 28143;Phone Siemens Gigaset C320;Canister vacuum cleaner / Siemens VS 06 G 1831;External Harddrive Iomega 3.5";Nintendo Wii;Siemens Kl 20 LA 65 (A+);Electric Razor Braun Cruzer 5;Electric Toothbrush Dondodent Professional Clean;Samsung CLP-315W;Fax / Phillips Faxjet 525 Primo (IPF525);Microsoft Xbox 360;Yamaha RX-V667;Router O2 Box 6431;
313;05:13:00;1;1;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
314;05:14:00;1;1;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
315;05:15:00;1;1;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
316;05:16:00;1;1;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
317;05:17:00;1;1;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
318;05:18:00;2;2;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
319;05:19:00;2;2;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
320;05:20:00;2;2;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
321;05:21:00;2;2;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
322;05:22:00;2;2;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
323;05:23:00;2;2;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
324;05:24:00;2;2;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;10;0;0;5;2;5;5;5;5;5;5;10;
325;05:25:00;2;2;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;10;0;0;5;2;5;5;5;5;5;5;10;
326;05:26:00;2;2;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;10;0;0;5;2;5;5;5;5;5;5;10;
327;05:27:00;2;2;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;10;0;0;5;2;5;5;5;5;5;5;10;
328;05:28:00;2;2;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
329;05:29:00;2;2;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
330;05:30:00;2;2;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
331;05:31:00;2;2;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
332;05:32:00;2;2;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;10;0;0;5;2;5;5;5;5;5;5;10;
333;05:33:00;2;2;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
334;05:34:00;2;2;0;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
335;05:35:00;2;2;0;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
336;05:36:00;2;2;0;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
337;05:37:00;2;2;0;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
338;05:38:00;3;3;0;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
339;05:39:00;3;3;0;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
340;05:40:00;3;3;0;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
341;05:41:00;3;3;0;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;10;0;0;5;2;5;5;5;5;5;5;10;
342;05:42:00;3;3;0;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;10;0;0;5;2;5;5;5;5;5;5;10;
343;05:43:00;3;3;0;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;10;0;0;5;2;5;5;5;5;5;5;10;
344;05:44:00;1;1;0;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;10;0;0;5;2;5;5;5;5;5;5;10;
345;05:45:00;1;1;0;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;10;0;0;5;2;5;5;5;5;5;5;10;
346;05:46:00;1;1;0;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;10;0;0;5;2;5;5;5;5;5;5;10;
347;05:47:00;0;0;0;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;10;0;0;5;2;5;5;5;5;5;5;10;
348;05:48:00;0;0;0;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;10;0;0;5;2;5;5;5;5;5;5;10;
349;05:49:00;0;0;0;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
350;05:50:00;0;0;0;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
351;05:51:00;0;0;0;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
352;05:52:00;0;0;0;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
353;05:53:00;0;0;0;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
354;05:54:00;0;0;0;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
355;05:55:00;0;0;0;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
356;05:56:00;0;0;0;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;2;5;5;5;5;5;5;10;
357;05:57:00;0;0;0;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
358;05:58:00;0;0;1;0;4;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;2;5;5;5;5;5;5;10;
359;05:59:00;0;0;1;0;4;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
360;06:00:00;0;0;1;0;4;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
361;06:01:00;0;0;1;0;4;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
362;06:02:00;0;0;1;0;4;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
363;06:03:00;0;0;1;0;4;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
364;06:04:00;0;0;1;0;4;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
365;06:05:00;0;0;1;0;4;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
366;06:06:00;0;0;1;0;4;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
367;06:07:00;1;1;1;0;4;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
368;06:08:00;2;2;1;0;4;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
369;06:09:00;2;2;1;0;4;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
370;06:10:00;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
371;06:11:00;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
372;06:12:00;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
373;06:13:00;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
374;06:14:00;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
375;06:15:00;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
376;06:16:00;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
377;06:17:00;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;0;0;1;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
378;06:18:00;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;5;10;10;0;0;5;1;0;1;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
379;06:19:00;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;5;10;10;0;0;5;1;0;2;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
380;06:20:00;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;5;10;10;0;0;5;2;0;2;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
381;06:21:00;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;5;10;10;0;0;5;2;0;1;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
382;06:22:00;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;5;10;10;0;0;5;2;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
383;06:23:00;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;5;10;10;0;0;5;2;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
384;06:24:00;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;2;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;0;5;0;5;0;0;10;0;0;5;2;5;5;5;5;5;5;10;
385;06:25:00;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;2;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
386;06:26:00;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;2;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
387;06:27:00;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;2;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
388;06:28:00;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;2;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
389;06:29:00;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;2;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;0;5;0;5;0;0;10;0;0;5;0;5;5;5;5;5;5;10;
390;06:30:00;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;10;10;0;0;5;2;0;0;10;10;5;5;0;5;5;5;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;0;5;0;5;0;0;10;0;0;5;1;5;5;5;5;5;5;10;
