Device;Load Type;Profile;Number of Activations
TV / Phillips Goya 9770 VT;Apparent;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
TV / Phillips Goya 9770 VT;Electricity;01 h 0 min 100% [Synthetic];10
TV / Phillips Goya 9770 VT;Electricity;01 h 30 min 100% [Synthetic];6
TV / Phillips Goya 9770 VT;Electricity;02 h 0 min 100% [Synthetic];12
TV / Phillips Goya 9770 VT;Electricity;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
TV / Phillips Goya 9770 VT;Inner Device Heat Gains;01 h 0 min 100% [Synthetic];10
TV / Phillips Goya 9770 VT;Inner Device Heat Gains;01 h 30 min 100% [Synthetic];6
TV / Phillips Goya 9770 VT;Inner Device Heat Gains;02 h 0 min 100% [Synthetic];12
TV / Phillips Goya 9770 VT;Inner Device Heat Gains;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
TV / Phillips Goya 9770 VT;Reactive;01 h 0 min 100% [Synthetic];10
TV / Phillips Goya 9770 VT;Reactive;01 h 30 min 100% [Synthetic];6
TV / Phillips Goya 9770 VT;Reactive;02 h 0 min 100% [Synthetic];12
TV / Phillips Goya 9770 VT;Reactive;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
Toaster / Bosch TAT8SL1;Apparent;0 h 01 min 100% [Synthetic];17
Toaster / Bosch TAT8SL1;Electricity;0 h 01 min 100% [Synthetic];17
Toaster / Bosch TAT8SL1;Inner Device Heat Gains;0 h 01 min 100% [Synthetic];17
Toaster / Bosch TAT8SL1;Reactive;0 h 01 min 100% [Synthetic];17
Toilet 10L/min;Cold Water;0 h 01 min 100% [Synthetic];44
Toys;None;0 h 30 min 100% [Synthetic];2
Toys;None;01 h 0 min 100% [Synthetic];2
Toys;None;01 h 30 min 100% [Synthetic];1
Toys;None;02 h 0 min 100% [Synthetic];2
Washing Machine / Bosch WOL 2450;Apparent;Washing Machine Profile Measured 30°C 2h 16 min [Measured 1 min Resolution (Noah)];2
Washing Machine / Bosch WOL 2450;Cold Water;Washing Machine Profile Measured 30°C 2h 16 min [Measured 1 min Resolution (Noah)];2
Washing Machine / Bosch WOL 2450;Electricity;Washing Machine Profile Measured 30°C 2h 16 min [Measured 1 min Resolution (Noah)];2
Washing Machine / Bosch WOL 2450;Inner Device Heat Gains;Washing Machine Profile Measured 30°C 2h 16 min [Measured 1 min Resolution (Noah)];2
Washing Machine / Bosch WOL 2450;Reactive;Washing Machine Profile Measured 30°C 2h 16 min [Measured 1 min Resolution (Noah)];2
Wooden Toys;None;01 h 0 min 100% [Synthetic];4
Wooden Toys;None;02 h 0 min 100% [Synthetic];4
Yamaha RX-V667;Apparent;Standby TV / Receiver 1 h 0 min 3% [Synthetic];119
Yamaha RX-V667;Electricity;Standby TV / Receiver 1 h 0 min 3% [Synthetic];119
Yamaha RX-V667;Inner Device Heat Gains;Standby TV / Receiver 1 h 0 min 3% [Synthetic];119
Yamaha RX-V667;Reactive;Standby TV / Receiver 1 h 0 min 3% [Synthetic];119
