"Latitude (decimal degrees):	41.811"
"Longitude (decimal degrees):	12.632"
"Elevation (m):	149"
"Radiation database:	PVGIS-SARAH3"


Slope: 35 deg. 
Azimuth: 0 deg. 
"Nominal power of the PV system (c-Si) (kWp):	1.0"
"System losses (%):	14.0"
time,P,G(i),H_sun,T2m,WS10m,Int
20230405:0310,0.0,0.0,0.0,5.75,1.52,0.0
20230405:0410,0.0,0.0,0.0,5.53,1.52,0.0
20230405:0510,0.74,7.42,3.62,5.56,1.66,0.0
20230405:0610,26.99,45.43,14.78,5.7,1.79,0.0
20230405:0710,284.93,343.46,25.77,7.34,1.66,0.0
20230405:0810,316.59,379.25,36.11,8.25,1.72,0.0
20230405:0910,372.36,447.47,45.13,9.1,1.66,0.0
20230405:1010,445.08,537.59,51.68,9.31,1.45,0.0
20230405:1110,548.72,669.68,54.27,9.62,1.38,0.0
20230405:1210,44.44,67.68,52.04,9.48,1.45,0.0
20230405:1310,52.05,76.95,45.75,10.02,1.79,0.0
20230405:1410,140.86,179.32,36.87,9.35,2.0,0.0
20230405:1510,49.39,73.24,26.6,8.26,1.86,0.0
20230405:1610,79.43,109.53,15.65,7.61,1.38,0.0
20230405:1710,5.73,16.8,4.49,6.85,0.83,0.0
20230405:1810,0.0,0.0,0.0,6.38,0.21,0.0
20230405:1910,0.0,0.0,0.0,6.52,0.48,0.0
20230405:2010,0.0,0.0,0.0,6.22,0.55,0.0
20230405:2110,0.0,0.0,0.0,5.66,0.55,0.0
20230405:2210,0.0,0.0,0.0,5.8,0.48,0.0
20230405:2310,0.0,0.0,0.0,4.03,0.83,0.0
20230406:0010,0.0,0.0,0.0,4.01,1.03,0.0
20230406:0110,0.0,0.0,0.0,2.68,1.31,0.0
20230406:0210,0.0,0.0,0.0,1.85,1.59,0.0
20230406:0310,0.0,0.0,0.0,1.36,1.79,0.0
20230406:0410,0.0,0.0,0.0,0.96,1.86,0.0
20230406:0510,5.75,16.37,3.93,0.48,1.93,0.0
20230406:0610,166.15,224.53,15.09,2.82,1.45,0.0
20230406:0710,406.99,485.61,26.08,5.63,1.66,0.0
20230406:0810,605.57,727.2,36.45,7.62,1.79,0.0
20230406:0910,741.36,923.57,45.49,9.22,1.31,0.0
20230406:1010,774.76,991.17,52.06,10.55,0.9,0.0
20230406:1110,797.67,1027.37,54.65,11.62,1.1,0.0
20230406:1210,814.09,1050.17,52.38,12.49,1.31,0.0
20230406:1310,739.13,928.82,46.03,13.03,1.93,0.0
20230406:1410,587.31,714.15,37.11,12.95,2.9,0.0
20230406:1510,413.13,502.65,26.81,12.79,3.38,0.0
20230406:1610,173.46,238.47,15.85,12.32,3.59,0.0
20230406:1710,6.97,23.5,4.68,11.26,3.24,0.0
20230406:1810,0.0,0.0,0.0,9.77,2.9,0.0
20230406:1910,0.0,0.0,0.0,8.93,2.34,0.0
20230406:2010,0.0,0.0,0.0,7.85,2.07,0.0
20230406:2110,0.0,0.0,0.0,6.79,1.86,0.0
20230406:2210,0.0,0.0,0.0,6.12,1.72,0.0
20230406:2310,0.0,0.0,0.0,5.4,1.66,0.0
20230407:0010,0.0,0.0,0.0,4.54,1.79,0.0
20230407:0110,0.0,0.0,0.0,3.66,1.79,0.0
20230407:0210,0.0,0.0,0.0,2.89,1.79,0.0
20230407:0310,0.0,0.0,0.0,2.26,1.79,0.0
20230407:0410,0.0,0.0,0.0,1.8,1.72,0.0
20230407:0510,7.17,18.82,4.23,1.52,1.72,0.0
20230407:0610,166.82,225.3,15.4,3.22,1.1,0.0
20230407:0710,391.88,476.5,26.4,8.0,0.76,0.0
20230407:0810,585.16,719.83,36.78,10.14,0.9,0.0
20230407:0910,727.12,913.2,45.85,11.4,1.38,0.0
20230407:1010,810.72,1032.65,52.44,12.34,1.79,0.0
20230407:1110,858.75,1096.01,55.03,12.98,2.34,0.0
20230407:1210,839.18,1061.44,52.72,13.27,2.69,0.0
20230407:1310,759.16,944.27,46.31,13.25,2.83,0.0
20230407:1410,605.45,737.02,37.35,13.02,2.97,0.0
20230407:1510,412.78,502.29,27.02,12.44,3.1,0.0
20230407:1610,173.91,238.92,16.04,11.68,2.76,0.0
20230407:1710,7.15,23.92,4.88,10.81,2.0,0.0
20230407:1810,0.0,0.0,0.0,9.64,1.59,0.0
20230407:1910,0.0,0.0,0.0,9.03,1.72,0.0
20230407:2010,0.0,0.0,0.0,8.16,1.79,0.0
20230407:2110,0.0,0.0,0.0,7.45,1.86,0.0
20230407:2210,0.0,0.0,0.0,7.24,1.86,0.0
20230407:2310,0.0,0.0,0.0,7.06,1.93,0.0
20230408:0010,0.0,0.0,0.0,7.15,1.93,0.0
20230408:0110,0.0,0.0,0.0,7.17,2.28,0.0
20230408:0210,0.0,0.0,0.0,7.28,2.55,0.0
20230408:0310,0.0,0.0,0.0,7.24,3.1,0.0
20230408:0410,0.0,0.0,0.0,6.54,3.17,0.0
20230408:0510,3.06,12.05,4.54,6.91,2.62,0.0
20230408:0610,6.39,17.62,15.7,7.29,2.69,0.0
20230408:0710,71.78,99.2,26.71,7.47,1.93,0.0
20230408:0810,595.46,712.47,37.11,8.68,2.41,0.0
20230408:0910,717.91,870.88,46.2,9.05,2.62,0.0
20230408:1010,479.16,577.52,52.82,10.54,2.48,0.0
20230408:1110,51.6,76.95,55.4,11.86,2.21,0.0
20230408:1210,83.6,114.96,53.05,12.25,2.48,0.0
20230408:1310,181.63,227.54,46.59,11.43,2.76,0.0
20230408:1410,370.8,446.66,37.58,10.38,1.86,0.0
20230408:1510,210.69,260.27,27.22,10.18,1.93,0.0
20230408:1610,133.33,180.13,16.24,10.1,1.45,0.0
20230408:1710,3.52,12.98,5.07,9.5,0.9,0.0
20230408:1810,0.0,0.0,0.0,8.81,0.83,0.0
20230408:1910,0.0,0.0,0.0,7.6,1.45,0.0
20230408:2010,0.0,0.0,0.0,6.84,1.38,0.0
20230408:2110,0.0,0.0,0.0,5.65,1.52,0.0
20230408:2210,0.0,0.0,0.0,4.63,1.66,0.0
20230408:2310,0.0,0.0,0.0,3.75,1.72,0.0
20230409:0010,0.0,0.0,0.0,3.04,1.66,0.0
20230409:0110,0.0,0.0,0.0,2.42,1.72,0.0
20230409:0210,0.0,0.0,0.0,2.01,1.72,0.0
20230409:0310,0.0,0.0,0.0,2.0,1.79,0.0
20230409:0410,0.0,0.0,0.0,2.11,1.79,0.0
20230409:0510,8.74,21.08,4.84,2.34,1.86,0.0
20230409:0610,170.25,229.12,16.0,3.88,1.59,0.0
20230409:0710,394.73,475.63,27.02,7.2,1.24,0.0
20230409:0810,590.3,720.76,37.43,9.72,1.24,0.0
20230409:0910,723.47,912.47,46.55,11.56,1.17,0.0
20230409:1010,802.86,1036.08,53.2,13.04,1.31,0.0
20230409:1110,828.48,1067.71,55.78,14.23,1.93,0.0
20230409:1210,576.85,712.69,53.38,14.99,2.83,0.0
20230409:1310,74.73,105.69,46.86,15.24,3.79,0.0
20230409:1410,244.25,302.42,37.81,14.7,3.86,0.0
20230409:1510,373.88,457.11,27.43,13.92,3.52,0.0
20230409:1610,169.11,234.71,16.43,13.08,2.0,0.0
20230409:1710,7.93,25.3,5.26,12.52,1.38,0.0
20230409:1810,0.0,0.0,0.0,10.98,1.72,0.0
20230409:1910,0.0,0.0,0.0,9.73,1.93,0.0
20230409:2010,0.0,0.0,0.0,8.55,2.0,0.0
20230409:2110,0.0,0.0,0.0,7.54,2.07,0.0
20230409:2210,0.0,0.0,0.0,6.63,2.14,0.0
20230409:2310,0.0,0.0,0.0,5.89,2.21,0.0
20230410:0010,0.0,0.0,0.0,5.25,2.34,0.0
20230410:0110,0.0,0.0,0.0,4.64,2.34,0.0
20230410:0210,0.0,0.0,0.0,4.24,2.41,0.0
20230410:0310,0.0,0.0,0.0,3.93,2.55,0.0
20230410:0410,0.0,0.0,0.0,3.53,2.62,0.0
20230410:0510,11.9,26.06,5.14,3.25,2.76,0.0
20230410:0610,174.48,234.04,16.3,4.43,2.55,0.0
20230410:0710,413.95,493.61,27.32,7.85,3.1,0.0
20230410:0810,615.52,734.0,37.76,10.13,3.72,0.0
20230410:0910,762.76,928.09,46.9,11.59,3.93,0.0
20230410:1010,848.85,1053.0,53.57,12.82,3.93,0.0
20230410:1110,781.45,971.71,56.15,13.94,3.72,0.0
20230410:1210,841.73,1061.03,53.71,14.75,3.45,0.0
20230410:1310,749.51,932.12,47.14,15.14,3.52,0.0
20230410:1410,594.99,727.45,38.04,15.31,3.66,0.0
20230410:1510,408.41,502.67,27.63,15.09,3.38,0.0
20230410:1610,174.53,243.32,16.62,14.57,3.1,0.0
20230410:1710,8.16,25.64,5.46,13.32,2.76,0.0
20230410:1810,0.0,0.0,0.0,11.57,2.69,0.0
20230410:1910,0.0,0.0,0.0,10.36,2.41,0.0
20230410:2010,0.0,0.0,0.0,9.11,2.28,0.0
20230410:2110,0.0,0.0,0.0,7.84,2.14,0.0
20230410:2210,0.0,0.0,0.0,6.65,2.14,0.0
20230410:2310,0.0,0.0,0.0,5.64,2.07,0.0
20230411:0010,0.0,0.0,0.0,4.83,2.07,0.0
20230411:0110,0.0,0.0,0.0,4.39,1.93,0.0
20230411:0210,0.0,0.0,0.0,3.71,1.79,0.0
20230411:0310,0.0,0.0,0.0,3.14,1.66,0.0
20230411:0410,0.0,0.0,0.0,2.68,1.72,0.0
20230411:0510,11.31,24.79,5.44,2.37,1.66,0.0
20230411:0610,144.96,191.44,16.6,4.6,1.24,0.0
20230411:0710,234.71,288.23,27.63,9.0,0.9,0.0
20230411:0810,432.66,528.84,38.08,11.23,0.83,0.0
20230411:0910,539.86,671.22,47.25,12.6,0.9,0.0
20230411:1010,723.59,917.44,53.94,13.77,1.72,0.0
20230411:1110,812.8,1033.11,56.52,14.27,2.55,0.0
20230411:1210,783.23,986.21,54.04,14.73,2.97,0.0
20230411:1310,383.22,469.14,47.41,15.01,3.1,0.0
20230411:1410,504.68,614.71,38.27,14.8,3.31,0.0
20230411:1510,388.37,476.84,27.83,14.28,3.1,0.0
20230411:1610,163.39,225.78,16.81,13.52,2.48,0.0
20230411:1710,12.74,29.8,5.65,12.67,1.66,0.0
20230411:1810,0.0,0.0,0.0,11.72,0.97,0.0
20230411:1910,0.0,0.0,0.0,10.96,0.62,0.0
20230411:2010,0.0,0.0,0.0,10.67,0.83,0.0
20230411:2110,0.0,0.0,0.0,10.35,1.1,0.0
20230411:2210,0.0,0.0,0.0,10.27,1.24,0.0
20230411:2310,0.0,0.0,0.0,10.35,1.24,0.0
20230412:0010,0.0,0.0,0.0,10.23,1.17,0.0
20230412:0110,0.0,0.0,0.0,9.89,1.24,0.0
20230412:0210,0.0,0.0,0.0,9.74,1.17,0.0
20230412:0310,0.0,0.0,0.0,9.17,1.31,0.0
20230412:0410,0.0,0.0,0.0,8.68,1.38,0.0
20230412:0510,3.03,12.05,5.73,8.28,1.38,0.0
20230412:0610,172.95,238.74,16.89,9.82,0.97,0.0
20230412:0710,391.7,481.08,27.93,11.72,1.45,0.0
20230412:0810,573.52,705.99,38.4,13.42,1.86,0.0
20230412:0910,711.09,896.79,47.59,14.85,2.0,0.0
20230412:1010,787.74,1011.8,54.31,15.91,2.14,0.0
20230412:1110,827.83,1071.59,56.88,16.81,2.41,0.0
20230412:1210,800.53,1023.88,54.36,16.94,2.83,0.0
20230412:1310,692.84,871.0,47.67,16.95,2.83,0.0
20230412:1410,536.64,663.5,38.49,16.74,2.76,0.0
20230412:1510,376.92,467.97,28.03,16.17,2.76,0.0
20230412:1610,135.89,187.39,17.0,15.38,2.48,0.0
20230412:1710,13.71,33.09,5.84,14.43,1.79,0.0
20230412:1810,0.0,0.0,0.0,13.13,1.52,0.0
20230412:1910,0.0,0.0,0.0,12.2,2.0,0.0
20230412:2010,0.0,0.0,0.0,11.55,2.28,0.0
20230412:2110,0.0,0.0,0.0,11.21,2.48,0.0
20230412:2210,0.0,0.0,0.0,10.92,2.62,0.0
20230412:2310,0.0,0.0,0.0,10.64,2.69,0.0
20230413:0010,0.0,0.0,0.0,10.36,2.83,0.0
20230413:0110,0.0,0.0,0.0,10.13,2.97,0.0
20230413:0210,0.0,0.0,0.0,9.86,3.03,0.0
20230413:0310,0.0,0.0,0.0,9.49,3.31,0.0
20230413:0410,0.0,0.0,0.0,9.61,3.45,0.0
20230413:0510,16.48,35.05,6.02,9.71,3.17,0.0
20230413:0610,126.54,170.17,17.18,10.71,2.76,0.0
20230413:0710,174.13,219.42,28.23,12.48,3.59,0.0
20230413:0810,115.83,152.97,38.71,13.68,4.07,0.0
20230413:0910,451.29,546.08,47.93,14.74,4.69,0.0
20230413:1010,505.88,615.89,54.68,15.37,4.55,0.0
20230413:1110,268.98,332.28,57.25,15.08,4.48,0.0
20230413:1210,77.89,109.4,54.68,15.26,4.34,0.0
20230413:1310,78.87,110.33,47.94,14.76,4.41,0.0
20230413:1410,58.86,86.22,38.72,13.85,3.72,0.0
20230413:1510,52.19,77.88,28.23,12.79,3.17,0.0
20230413:1610,19.08,36.16,17.19,12.05,2.62,0.0
20230413:1710,9.8,23.27,6.03,11.73,2.34,0.0
20230413:1810,0.0,0.0,0.0,11.01,2.0,0.0
20230413:1910,0.0,0.0,0.0,9.93,1.45,0.0
20230413:2010,0.0,0.0,0.0,8.57,1.03,0.0
20230413:2110,0.0,0.0,0.0,7.6,1.24,0.0
20230413:2210,0.0,0.0,0.0,7.47,0.55,0.0
20230413:2310,0.0,0.0,0.0,6.87,0.21,0.0
20230414:0010,0.0,0.0,0.0,6.72,0.48,0.0
20230414:0110,0.0,0.0,0.0,5.83,0.97,0.0
20230414:0210,0.0,0.0,0.0,5.38,1.17,0.0
20230414:0310,0.0,0.0,0.0,5.59,0.07,0.0
20230414:0410,0.0,0.0,0.0,5.2,1.38,0.0
20230414:0510,15.35,35.38,6.31,4.72,1.24,0.0
20230414:0610,116.5,153.74,17.47,6.05,1.03,0.0
20230414:0710,412.42,498.72,28.52,8.11,1.31,0.0
20230414:0810,576.1,701.64,39.02,9.26,1.17,0.0
20230414:0910,668.97,829.7,48.27,10.36,1.31,0.0
20230414:1010,88.68,120.52,55.04,11.6,2.76,0.0
20230414:1110,624.48,756.33,57.61,12.05,3.93,0.0
20230414:1210,553.95,665.37,55.0,12.14,4.48,0.0
20230414:1310,517.55,619.36,48.2,12.64,4.97,0.0
20230414:1410,115.69,152.05,38.94,12.69,4.69,0.0
20230414:1510,45.47,69.53,28.43,12.24,4.28,0.0
20230414:1610,68.53,97.46,17.38,12.11,3.52,0.0
20230414:1710,14.06,33.82,6.22,11.72,2.21,0.0
20230414:1810,0.0,0.0,0.0,10.72,0.97,0.0
20230414:1910,0.0,0.0,0.0,10.23,0.97,0.0
20230414:2010,0.0,0.0,0.0,9.55,0.62,0.0
20230414:2110,0.0,0.0,0.0,9.38,0.62,0.0
20230414:2210,0.0,0.0,0.0,7.94,1.03,0.0
20230414:2310,0.0,0.0,0.0,7.06,1.52,0.0
20230415:0010,0.0,0.0,0.0,6.84,1.66,0.0
20230415:0110,0.0,0.0,0.0,6.98,1.79,0.0
20230415:0210,0.0,0.0,0.0,7.23,1.86,0.0
20230415:0310,0.0,0.0,0.0,7.59,1.86,0.0
20230415:0410,0.0,0.0,0.0,7.93,2.0,0.0
20230415:0510,2.04,10.2,6.6,8.39,2.07,0.0
20230415:0610,28.07,47.28,17.75,8.54,2.28,0.0
20230415:0710,97.85,129.79,28.81,8.71,1.86,0.0
20230415:0810,67.15,94.56,39.33,9.34,1.79,0.0
20230415:0910,211.69,261.02,48.6,10.23,2.48,0.0
20230415:1010,121.41,157.61,55.4,10.77,3.52,0.0
20230415:1110,56.3,82.51,57.97,12.01,3.93,0.0
20230415:1210,244.82,299.89,55.32,11.79,4.0,0.0
20230415:1310,118.29,154.83,48.46,12.09,3.86,0.0
20230415:1410,71.07,100.13,39.16,12.36,4.07,0.0
20230415:1510,57.05,83.44,28.63,12.12,4.0,0.0
20230415:1610,136.88,184.86,17.56,11.91,3.03,0.0
20230415:1710,0.32,6.49,6.41,10.94,2.55,0.0
20230415:1810,0.0,0.0,0.0,10.15,2.55,0.0
20230415:1910,0.0,0.0,0.0,9.58,2.07,0.0
20230415:2010,0.0,0.0,0.0,9.12,2.69,0.0
20230415:2110,0.0,0.0,0.0,9.13,3.1,0.0
20230415:2210,0.0,0.0,0.0,9.07,3.31,0.0
20230415:2310,0.0,0.0,0.0,9.03,2.76,0.0
20230416:0010,0.0,0.0,0.0,8.64,2.41,0.0
20230416:0110,0.0,0.0,0.0,7.82,2.14,0.0
20230416:0210,0.0,0.0,0.0,7.43,1.93,0.0
20230416:0310,0.0,0.0,0.0,6.72,1.86,0.0
20230416:0410,0.0,0.0,0.0,6.27,1.79,0.0
20230416:0510,17.89,39.9,6.88,6.16,1.45,0.0
20230416:0610,116.14,153.84,18.03,7.52,1.03,0.0
20230416:0710,307.69,374.08,29.1,8.98,1.03,0.0
20230416:0810,583.0,714.97,39.63,10.52,1.17,0.0
20230416:0910,574.98,714.44,48.93,11.88,0.97,0.0
20230416:1010,744.91,962.06,55.76,13.0,0.83,0.0
20230416:1110,631.29,793.33,58.32,13.49,1.45,0.0
20230416:1210,653.7,818.57,55.63,14.09,2.0,0.0
20230416:1310,697.62,870.57,48.72,14.86,2.62,0.0
20230416:1410,43.36,67.68,39.38,14.77,3.17,0.0
20230416:1510,19.51,37.08,28.82,14.66,3.93,0.0
20230416:1610,13.53,28.74,17.75,14.12,4.0,0.0
20230416:1710,2.44,11.13,6.6,13.06,3.45,0.0
20230416:1810,0.0,0.0,0.0,11.62,2.83,0.0
20230416:1910,0.0,0.0,0.0,10.9,2.48,0.0
20230416:2010,0.0,0.0,0.0,10.01,2.55,0.0
20230416:2110,0.0,0.0,0.0,9.32,2.62,0.0
20230416:2210,0.0,0.0,0.0,8.76,2.55,0.0
20230416:2310,0.0,0.0,0.0,8.31,2.48,0.0
20230417:0010,0.0,0.0,0.0,8.09,2.55,0.0
20230417:0110,0.0,0.0,0.0,7.73,2.62,0.0
20230417:0210,0.0,0.0,0.0,7.45,2.62,0.0
20230417:0310,0.0,0.0,0.0,7.21,2.62,0.0
20230417:0410,0.0,0.0,0.0,7.02,2.55,0.0
20230417:0510,20.76,38.38,7.16,6.92,2.55,0.0
20230417:0610,108.64,144.07,18.31,7.83,2.28,0.0
20230417:0710,153.41,194.14,29.38,10.09,2.28,0.0
20230417:0810,291.36,354.7,39.93,11.6,2.34,0.0
20230417:0910,622.79,768.48,49.26,13.38,2.34,0.0
20230417:1010,724.3,922.09,56.11,15.01,1.86,0.0
20230417:1110,766.8,1011.56,58.68,16.05,0.9,0.0
20230417:1210,757.23,1009.0,55.94,16.7,0.55,0.0
20230417:1310,606.99,769.31,48.98,16.89,1.59,0.0
20230417:1410,542.01,671.02,39.59,16.18,2.41,0.0
20230417:1510,374.7,466.57,29.01,15.54,2.0,0.0
20230417:1610,30.03,50.99,17.93,14.56,0.41,0.0
20230417:1710,19.69,38.98,6.78,13.85,1.1,0.0
20230417:1810,0.0,0.0,0.0,12.76,1.31,0.0
20230417:1910,0.0,0.0,0.0,11.62,0.83,0.0
20230417:2010,0.0,0.0,0.0,10.44,1.24,0.0
20230417:2110,0.0,0.0,0.0,9.5,1.38,0.0
20230417:2210,0.0,0.0,0.0,9.49,1.31,0.0
20230417:2310,0.0,0.0,0.0,9.17,1.31,0.0
20230418:0010,0.0,0.0,0.0,8.7,1.38,0.0
20230418:0110,0.0,0.0,0.0,8.43,1.38,0.0
20230418:0210,0.0,0.0,0.0,8.08,1.24,0.0
20230418:0310,0.0,0.0,0.0,7.67,1.38,0.0
20230418:0410,0.0,0.0,0.0,7.46,1.45,0.0
20230418:0510,24.42,44.6,7.43,7.21,1.52,0.0
20230418:0610,178.23,240.73,18.58,8.88,0.9,0.0
20230418:0710,240.3,299.15,29.66,11.72,0.48,0.0
20230418:0810,345.4,429.34,40.23,13.13,0.07,0.0
20230418:0910,296.91,370.23,49.58,14.04,0.62,0.0
20230418:1010,148.37,192.84,56.46,14.85,1.38,0.0
20230418:1110,124.17,164.1,59.03,14.88,2.0,0.0
20230418:1210,156.13,201.18,56.25,14.57,2.28,0.0
20230418:1310,319.94,395.47,49.23,14.67,1.93,0.0
20230418:1410,178.17,227.68,39.8,14.74,1.45,0.0
20230418:1510,131.75,172.52,29.2,14.06,1.66,0.0
20230418:1610,122.57,166.52,18.12,12.74,1.1,0.0
20230418:1710,20.67,40.64,6.97,12.16,0.28,0.0
20230418:1810,0.0,0.0,0.0,11.72,0.76,0.0
20230418:1910,0.0,0.0,0.0,10.13,0.9,0.0
20230418:2010,0.0,0.0,0.0,9.39,1.1,0.0
20230418:2110,0.0,0.0,0.0,9.0,0.97,0.0
20230418:2210,0.0,0.0,0.0,9.19,0.76,0.0
20230418:2310,0.0,0.0,0.0,6.93,1.24,0.0
20230419:0010,0.0,0.0,0.0,6.14,1.52,0.0
20230419:0110,0.0,0.0,0.0,5.47,1.66,0.0
20230419:0210,0.0,0.0,0.0,5.12,1.66,0.0
20230419:0310,0.0,0.0,0.0,4.76,1.66,0.0
20230419:0410,0.0,0.0,0.0,4.62,1.66,0.0
20230419:0510,24.99,47.95,7.71,5.32,1.72,0.0
20230419:0610,189.68,253.9,18.85,6.94,1.38,0.0
20230419:0710,406.47,497.78,29.94,10.68,1.17,0.0
20230419:0810,577.01,723.6,40.52,12.88,0.55,0.0
20230419:0910,703.49,911.55,49.9,14.41,0.55,0.0
20230419:1010,748.64,965.35,56.81,15.48,1.52,0.0
20230419:1110,535.12,667.07,59.37,16.01,2.28,0.0
20230419:1210,578.81,719.89,56.55,16.07,2.76,0.0
20230419:1310,711.17,887.5,49.48,14.98,2.76,0.0
20230419:1410,546.3,669.19,40.02,14.94,2.9,0.0
20230419:1510,371.32,459.34,29.39,14.55,2.28,0.0
20230419:1610,163.39,227.17,18.3,14.12,1.59,0.0
20230419:1710,17.37,38.73,7.16,13.7,1.17,0.0
20230419:1810,0.0,0.0,0.0,12.78,0.76,0.0
20230419:1910,0.0,0.0,0.0,11.88,0.97,0.0
20230419:2010,0.0,0.0,0.0,11.13,1.17,0.0
20230419:2110,0.0,0.0,0.0,10.28,1.38,0.0
20230419:2210,0.0,0.0,0.0,9.88,1.24,0.0
20230419:2310,0.0,0.0,0.0,9.11,1.31,0.0
20230420:0010,0.0,0.0,0.0,8.55,1.38,0.0
20230420:0110,0.0,0.0,0.0,8.08,1.38,0.0
20230420:0210,0.0,0.0,0.0,8.12,1.24,0.0
20230420:0310,0.0,0.0,0.0,8.43,1.24,0.0
20230420:0410,0.0,0.0,0.0,8.24,1.38,0.0
20230420:0510,27.49,49.88,7.97,8.56,1.31,0.0
20230420:0610,188.81,255.8,19.12,9.82,1.38,0.0
20230420:0710,366.49,448.98,30.21,11.47,1.38,0.0
20230420:0810,514.9,633.36,40.81,12.97,1.45,0.0
20230420:0910,483.14,599.0,50.21,14.39,1.45,0.0
20230420:1010,458.71,570.45,57.15,15.18,1.59,0.0
20230420:1110,546.51,683.06,59.72,15.55,1.93,0.0
20230420:1210,527.7,656.6,56.85,15.6,2.14,0.0
20230420:1310,451.74,559.28,49.73,15.87,2.14,0.0
20230420:1410,518.68,640.6,40.22,15.63,2.28,0.0
20230420:1510,318.79,395.35,29.58,15.13,2.48,0.0
20230420:1610,171.16,240.03,18.48,14.53,2.0,0.0
20230420:1710,17.21,38.6,7.34,13.96,1.31,0.0
20230420:1810,0.0,0.0,0.0,13.11,0.97,0.0
20230420:1910,0.0,0.0,0.0,12.53,1.1,0.0
20230420:2010,0.0,0.0,0.0,11.58,1.1,0.0
20230420:2110,0.0,0.0,0.0,10.92,1.17,0.0
20230420:2210,0.0,0.0,0.0,10.06,1.31,0.0
20230420:2310,0.0,0.0,0.0,9.34,1.45,0.0
20230421:0010,0.0,0.0,0.0,8.63,1.59,0.0
20230421:0110,0.0,0.0,0.0,8.03,1.66,0.0
20230421:0210,0.0,0.0,0.0,7.46,1.66,0.0
20230421:0310,0.0,0.0,0.0,7.19,1.66,0.0
20230421:0410,0.0,0.0,0.0,7.0,1.79,0.0
20230421:0510,27.74,52.02,8.24,7.27,1.72,0.0
20230421:0610,190.86,257.77,19.38,9.61,1.38,0.0
20230421:0710,401.93,499.63,30.48,13.23,0.9,0.0
20230421:0810,566.54,722.26,41.09,15.71,0.41,0.0
20230421:0910,681.14,897.21,50.52,17.08,0.34,0.0
20230421:1010,666.47,866.97,57.49,17.6,1.03,0.0
20230421:1110,683.32,884.07,60.06,17.67,1.52,0.0
20230421:1210,736.66,955.24,57.15,17.8,1.79,0.0
20230421:1310,606.36,766.55,49.97,17.69,2.07,0.0
20230421:1410,577.26,724.61,40.43,17.73,2.14,0.0
20230421:1510,385.98,485.46,29.77,17.73,2.21,0.0
20230421:1610,169.51,240.68,18.66,17.26,2.21,0.0
20230421:1710,17.33,39.23,7.53,16.35,1.72,0.0
20230421:1810,0.0,0.0,0.0,15.04,1.38,0.0
20230421:1910,0.0,0.0,0.0,14.3,1.24,0.0
20230421:2010,0.0,0.0,0.0,13.0,1.17,0.0
20230421:2110,0.0,0.0,0.0,11.87,1.38,0.0
20230421:2210,0.0,0.0,0.0,10.83,1.59,0.0
20230421:2310,0.0,0.0,0.0,9.92,1.72,0.0
20230422:0010,0.0,0.0,0.0,9.24,1.79,0.0
20230422:0110,0.0,0.0,0.0,8.36,1.79,0.0
20230422:0210,0.0,0.0,0.0,7.7,1.79,0.0
20230422:0310,0.0,0.0,0.0,7.34,1.86,0.0
20230422:0410,0.0,0.0,0.0,7.14,1.86,0.0
20230422:0510,29.82,55.03,8.5,7.34,1.79,0.0
20230422:0610,191.35,258.03,19.64,9.74,1.45,0.0
20230422:0710,399.22,496.87,30.74,13.85,1.03,0.0
20230422:0810,565.89,722.37,41.37,16.49,0.55,0.0
20230422:0910,682.74,905.89,50.83,17.95,0.28,0.0
20230422:1010,778.99,1038.65,57.82,18.93,1.17,0.0
20230422:1110,825.72,1094.23,60.39,19.49,2.0,0.0
20230422:1210,797.87,1043.29,57.44,19.7,2.41,0.0
20230422:1310,721.95,929.26,50.21,19.72,2.48,0.0
20230422:1410,571.15,718.66,40.64,19.54,2.69,0.0
20230422:1510,387.06,487.76,29.95,18.79,2.69,0.0
20230422:1610,139.37,193.01,18.84,17.88,2.34,0.0
20230422:1710,24.16,45.0,7.71,16.78,1.45,0.0
20230422:1810,0.0,0.0,0.0,15.52,0.97,0.0
20230422:1910,0.0,0.0,0.0,14.21,0.62,0.0
20230422:2010,0.0,0.0,0.0,14.02,0.41,0.0
20230422:2110,0.0,0.0,0.0,13.53,0.55,0.0
20230422:2210,0.0,0.0,0.0,12.38,0.83,0.0
20230422:2310,0.0,0.0,0.0,11.57,0.97,0.0
20230423:0010,0.0,0.0,0.0,10.87,1.03,0.0
20230423:0110,0.0,0.0,0.0,10.27,1.17,0.0
20230423:0210,0.0,0.0,0.0,9.38,1.45,0.0
20230423:0310,0.0,0.0,0.0,9.06,1.52,0.0
20230423:0410,0.0,0.0,0.0,8.81,1.45,0.0
20230423:0510,31.81,53.92,8.76,8.84,1.45,0.0
20230423:0610,188.19,255.41,19.89,11.38,0.76,0.0
20230423:0710,318.99,399.72,31.0,14.67,0.55,0.0
20230423:0810,546.66,694.3,41.64,16.19,0.62,0.0
20230423:0910,638.57,819.43,51.13,17.48,1.31,0.0
20230423:1010,689.47,888.66,58.15,18.35,1.93,0.0
20230423:1110,828.7,1085.01,60.73,18.99,2.48,0.0
20230423:1210,747.65,959.82,57.73,19.23,2.97,0.0
20230423:1310,658.53,830.83,50.45,19.1,3.24,0.0
20230423:1410,580.62,724.33,40.84,18.78,3.24,0.0
20230423:1510,387.53,485.86,30.14,18.17,3.03,0.0
