Apparent.Time;Time span;Bathroom Light (20W) [VA];Bathroom Mirror Light 100W (Conventional) [VA];Kitchen Light (60W) [VA];Living Room Light (Energy Saving Lamp, 20W) [VA];Bedroom Light (200W) [VA];Toaster / Bosch TAT8SL1 [VA];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left [VA];Electric Kettle / Phillips Essential HD 4685/90 Schwarz [VA];Westinghouse Fanaway [VA];Clatronic MS 3249 Milk Foamer [VA];Nespresso Coffee Machine, Single Cup [VA];PC / Acer Aspire M3640 [VA];PC Monitor / Fujitsu Siemens Scaleoview H19-1 [VA];Epson Stylus Color 860 [VA];TASKalfa 180 [VA];Canon CanoScan LIDE 110 [VA];External Harddrive Iomega 3.5" [VA];Extractor Hood / Miele DA 429-4 [VA];Kitchen radio / AEG KRC 4323 CD [VA];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind- semi aktiv [VA];Microwave / Panasonic NN 5259 [VA];Oven / AEG B 33512-5-M [VA];Miele DA 61 [VA];Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind [VA];Bauknecht GTM 2511 [VA];Dehumidifier / Trotec TTK 50 S [VA];Dishwasher Whirlpool 45cm from Ikea [VA];Miele T 495 C [VA];Electronic hometrainer / Kettler Track Perfomance [VA];Coffee Machine / Braun Impression KF 600 [VA];Electric Kettle / Petra WK288 1.5L [VA];Washing Machine AEG Lavamat 54610 [VA];Tectro TP 020 [VA];Sony PlayStation 3 [VA];TV Samsung LED UE40 B7090 [VA];Osram Light Bulb Classic A 60W [VA];CD/DVD Player / Phillips CD 380 [VA];SAT Receiver / Kathrein UFS913 [VA];Siemens VS 91143 S Super 911 [VA];Siemens Kl 20 LA 65 (A+) [VA];Router O2 Box 6431 [VA];Electric Razor / Phillips PT860/16 Razor PowerTouch Plus [VA];Electric Toothbrush Dondodent Professional Clean [VA];Smartphone Samung S4 [VA];Yamaha RX-V667 [VA];
528;08:48:00;0;0;0;0;0;0;0;0;0;0;0;4,722827010916139;1,3931693246631873;0,2149384574101587;2,291795824767592;0;0;0;1,213164715200699;0;10,631893810128345;0;0;0;0;0;0;0;0;0;0;0;0;4,11689663417949;2,5;0;0,8089495125536084;1,222664695649597;0;0;11,6435426229508;0,19437787825875671;4,07683786885246;0;10,823517782734806;
529;08:49:00;0;0;0;0;0;0;0;0;0;0;0;4,72290261795766;1,3942294398416974;0,21494602740762564;2,2918272626074763;0;0;0;1,2133785440374922;0;10,631987996859863;0;0;0;0;0;0;0;0;0;0;0;0;4,117677790187568;2,5;0;0,8089546798120238;1,222836290173795;0;0;11,6435426229508;0,19439524833909633;4,07683786885246;0;10,823824929265596;
530;08:50:00;0;0;0;0;0;0;0;0;0;0;0;4,723493917638605;1,3945038193688117;0,2149711547227347;2,2919103543416175;0;0;0;1,2133984440905243;0;10,632834356276014;0;0;0;0;0;0;0;0;0;0;0;0;4,118480688203687;2,5;0;0,8091608789188122;1,2230239734401456;0;0;11,6435426229508;0,19443774082800566;4,07683786885246;0;10,824181979704418;
531;08:51:00;0;0;0;0;0;0;0;0;0;0;0;4,724229146081972;1,3947162791092436;0,21498247684171864;2,292190548693403;0;0;0;1,2134700576200705;0;10,634931064901691;0;0;0;0;0;0;0;0;0;0;0;0;4,120615267499515;2,5;0;0,8091862435151379;1,2231600426110938;0;0;11,6435426229508;0,19445401645689672;4,07683786885246;0;10,824218263842813;
532;08:52:00;0;0;0;0;0;0;0;0;0;0;0;4,725388589657818;1,3951466866747673;0,21500040073036458;2,2922370021447693;0;0;0;1,2136643774649496;0;10,635302792349854;0;0;0;0;0;0;0;0;0;0;0;0;4,12095080006198;2,5;0;0,8092271102428396;1,2232683244113083;0;0;11,6435426229508;0,19446723739402597;4,07683786885246;0;10,826530141947186;
533;08:53:00;0;0;0;0;0;0;0;0;0;0;0;4,725392426256394;1,3951677888989327;0,2150127548696242;2,292352064808845;0;0;0;1,2137560006122001;0;10,63590971101773;0;0;0;0;0;0;0;0;0;0;0;0;4,121190987930278;2,5;0;0,8092364299113941;1,2234664858925746;0;0;11,6435426229508;0,19447260780962644;4,07683786885246;0;10,827028784830812;
534;08:54:00;0;0;0;0;0;0;0;0;0;0;0;4,725815085439137;1,3955877702657355;0,21502931107865292;2,2924861764252564;0;0;0;1,2139560178478792;0;10,636431261665598;0;0;0;0;0;0;0;0;0;0;0;0;4,122058749510258;2,5;0;0,8092448767111092;1,2235325733101936;0;0;11,6435426229508;0,19448295606948993;4,07683786885246;0;10,827031718773055;
535;08:55:00;0;0;0;0;0;0;0;0;0;0;0;4,725919534851483;1,3959076628429887;0,2150630272368614;2,293077804450284;0;0;0;1,2140271814221781;0;10,63901615572417;0;0;0;0;0;0;0;0;0;0;0;0;4,123119635070644;2,5;0;0,809280679172912;1,223575988218231;0;0;11,6435426229508;0,19448534283485436;4,07683786885246;0;10,827189921810625;
536;08:56:00;0;0;0;0;0;0;0;0;0;0;0;4,726474803521596;1,3963235976424793;0,21506330142385716;2,293427182086516;0;0;0;1,214101782483489;0;10,640315893687024;0;0;0;0;0;0;0;0;0;0;0;0;4,123386825355043;2,5;0;0,809330064098545;1,2237322693688704;0;0;11,6435426229508;0,19452941089861805;4,07683786885246;0;10,828468283050162;
537;08:57:00;0;0;0;0;0;0;0;0;0;0;0;4,729163987985112;1,3963481616561602;0,21507443465974385;2,2939209728266747;0;0;0;1,2141297208213977;0;10,640499941498406;0;0;0;0;0;0;0;0;0;0;0;0;4,124045496016049;2,5;0;0,8093312863198112;1,2237797958498349;0;0;11,6435426229508;0,19453281035216097;4,07683786885246;0;10,830032433409825;
538;08:58:00;0;0;0;0;0;0;0;0;0;0;0;4,729520252337406;1,3967123317675147;0,21510633346448227;2,2940320843033084;0;0;0;1,2146970839233566;0;10,641082723498508;0;0;0;0;0;0;0;0;0;0;0;0;4,124656909842668;2,5;0;0,8093862635922118;1,224067436489929;0;0;11,6435426229508;0,1945337735445565;4,07683786885246;0;10,831560181362414;
539;08:59:00;0;0;0;0;0;0;0;0;0;0;0;4,729579780152707;1,397782283677952;0,21514724858541817;2,2953295807975445;0;0;0;1,2148106154493132;0;10,642307467421713;0;0;0;0;0;0;0;0;0;0;0;0;4,126512556025939;2,5;0;0,8095897657611291;1,2241295809412234;0;0;11,6435426229508;0,19453463786076267;4,07683786885246;0;10,832551209730736;
540;09:00:00;0;0;0;0;0;0;0;0;0;0;0;4,729960055524648;1,3978447061005295;0,21517202865311902;2,295563614330373;0;0;0;1,2148140591123242;0;10,642502078936028;0;0;0;0;0;0;0;0;0;0;0;0;4,126686988655071;2,5;0;0,8096743210365192;1,2242988537244486;0;0;11,6435426229508;0,1945460374845712;4,07683786885246;0;10,833982501861438;
541;09:01:00;0;0;0;0;0;0;0;0;0;0;0;4,730284706062753;1,397912163014786;0,21517385940983674;2,2957351501572023;0;0;0;1,2148294012513865;0;10,643893513644544;0;0;0;0;0;0;0;0;0;0;0;0;4,126791750135585;2,5;0;0,8096798554356395;1,2245619740087217;0;0;11,6435426229508;0,19461292149611464;4,07683786885246;0;10,8348772983532;
542;09:02:00;0;0;0;0;0;0;0;0;0;0;0;4,730413338132681;1,3980452871138533;0,2152192007276748;2,295947288049363;0;0;0;1,2151291028470412;0;10,647664312910882;0;0;0;0;0;0;0;0;0;0;0;0;4,126822683874644;2,5;0;0,8097437170887711;1,2245727553186168;0;0;11,6435426229508;0,19462307861303876;4,07683786885246;0;10,838147439461855;
543;09:03:00;0;0;0;0;0;0;0;0;0;0;0;4,73074504155295;1,3980535021184732;0,21522413073798716;2,296106054225765;0;0;0;1,215353305366261;0;10,647712200285444;0;0;0;0;0;0;0;0;0;0;0;0;4,127413913237823;2,5;0;0,8097663715020509;1,2246313200165284;0;0;11,6435426229508;0,1946528039789785;4,07683786885246;0;10,838878362405126;
544;09:04:00;0;0;0;0;0;0;0;0;0;0;0;4,732846533997362;1,3981775572911634;0,21527121300460597;2,296224150272908;0;0;0;1,215833662357447;0;10,648021408058646;0;0;0;0;0;0;0;0;0;0;0;0;4,127699301675234;2,5;0;0,810016252443482;1,2246404309138306;0;0;11,6435426229508;0,19468471943456062;4,07683786885246;0;10,83932693605873;
545;09:05:00;0;0;0;0;0;0;0;0;0;0;0;4,732917768503515;1,398404726510783;0,21527978879316184;2,296250850192185;0;0;0;1,2160218037366308;0;10,64855155702473;0;0;0;0;0;0;0;0;0;0;0;0;4,12776180944654;2,5;0;0,8100250366171419;1,2247202843805325;0;0;11,6435426229508;0,19468547653836854;4,07683786885246;0;10,839498368780085;
546;09:06:00;0;0;0;0;0;0;0;0;0;0;0;4,734259623665864;1,3987383412389562;0,215288297125671;2,2964689743504607;0;0;0;1,2161902005735237;0;10,651814934635107;0;0;0;0;0;0;0;0;0;0;0;0;4,128425404423476;2,5;0;0,8101746765876578;1,224813862329593;0;0;11,6435426229508;0,1947147586615806;4,07683786885246;0;10,839560860051154;
547;09:07:00;0;0;0;0;0;0;0;0;0;0;0;4,7368193834408565;1,3987834680000006;0,2152995952064697;2,296715469049452;0;0;0;1,2162634243071586;0;10,65227026621866;0;0;0;0;0;0;0;0;0;0;0;0;4,128561364643682;2,5;0;0,8102339671009476;1,224843933564967;0;0;11,6435426229508;0,19471636616210913;4,07683786885246;0;10,840984388344795;
548;09:08:00;0;0;0;0;0;0;0;0;0;0;0;4,736895692193452;1,3989560376369283;0,2153257568991279;2,296857116052412;0;0;0;1,2163039736374148;0;10,652968646929397;0;0;0;0;0;0;0;0;0;0;0;0;4,128800358983623;2,5;0;0,8104330075095509;1,2251369752789167;0;0;11,6435426229508;0,19477555409395533;4,07683786885246;0;10,845470916106366;
549;09:09:00;0;0;0;0;0;0;0;0;0;0;0;4,739375981173275;1,3989732201072602;0,21542676620398027;2,2969524274300643;0;0;0;1,2165801459062724;0;10,654736734801418;0;0;0;0;0;0;0;0;0;0;0;0;4,130527827317985;2,5;0;0,810553206890624;1,2251486181289406;0;0;11,6435426229508;0,19482000190289217;4,07683786885246;0;10,84571594661345;
550;09:10:00;0;0;0;0;0;0;0;0;0;0;0;4,739827643935429;1,3990420868092315;0,21548064226326452;2,297643968066273;0;0;0;1,2166228251858322;0;10,654826823105124;0;0;0;0;0;0;0;0;0;0;0;0;4,130748852821239;2,5;0;0,810805857554516;1,2252541293041648;0;0;11,6435426229508;0,19482878527608954;4,07683786885246;0;10,848233596807672;
551;09:11:00;0;0;0;0;0;0;0;0;0;0;0;4,740465923686041;1,399068549469119;0,21548117946479856;2,298047956012571;0;0;0;1,216693158432914;0;10,656061339616011;0;0;0;0;0;0;0;0;0;0;0;0;4,130852435889339;2,5;0;0,8114401345456169;1,2255690693103503;0;0;11,6435426229508;0,1948959764246714;4,07683786885246;0;10,848578106567679;
552;09:12:00;0;0;0;0;0;0;0;0;0;0;0;4,741137000773108;1,3990709658545428;0,21555282575858217;2,2982934753579096;0;0;0;1,2167137207258125;0;10,658494054064091;0;0;0;0;0;0;0;0;0;0;0;0;4,132861825197771;2,5;0;0,8115107263022007;1,2255947546334134;0;0;11,6435426229508;0,19489610260639773;4,07683786885246;0;10,848592247174158;
553;09:13:00;0;0;0;0;0;0;0;0;0;0;0;4,741240495980481;1,3990937153996943;0,21556536109866212;2,298578789181791;0;0;0;1,216935025830254;0;10,65925335465212;0;0;0;0;0;0;0;0;0;0;0;0;4,133336557776461;2,5;0;0,8115941491455155;1,2256309524685738;0;0;11,6499098360656;0,1948997472682007;4,07683786885246;0;10,849544531612478;
554;09:14:00;0;0;0;0;0;0;0;0;0;0;0;4,742210753909219;1,3991063769619994;0,2155852077131883;2,298728598086779;0;0;0;1,217549870804093;0;10,660823682693334;0;0;0;0;0;0;0;0;0;0;0;0;4,134737995514721;2,5;0;0,8116801957940095;1,2257347247509465;0;0;11,6499098360656;0,19491256483480668;4,07683786885246;0;10,851931256847994;
555;09:15:00;0;0;0;0;0;0;0;0;0;0;0;4,742537615584351;1,3997834216195406;0,2156125578192641;2,2989554514668913;0;0;0;1,2176063816288054;0;10,660831004479226;0;0;0;0;0;0;0;0;0;0;0;0;4,1353001929081605;2,5;0;0,8117413049168574;1,225777423430628;0;0;11,6499098360656;0,1949174424309141;4,07683786885246;0;10,853828792964347;
556;09:16:00;0;0;0;0;0;0;0;0;0;0;0;4,742730495281533;1,4000207656380415;0,21562229229289764;2,2989772657039222;0;0;0;1,217631595872161;0;10,662398044173878;0;0;0;0;0;0;0;0;0;0;0;0;4,135907803445976;2,5;0;0,8117896298695222;1,2257802641105502;0;0;11,6499098360656;0,19493263287888443;4,07683786885246;0;10,854035969514369;
557;09:17:00;0;0;0;0;0;0;0;0;0;0;0;4,742993138411658;1,4001834953690773;0,21564218034851113;2,2990564433055947;0;0;0;1,21796907280116;0;10,663327952382241;0;0;0;0;0;0;0;0;0;0;0;0;4,13621534097613;2,5;0;0,8118407197784443;1,226215526509829;0;0;11,6499098360656;0,19493732395926627;4,07683786885246;0;10,854635887268342;
558;09:18:00;0;0;0;0;0;0;0;0;0;0;0;4,7433973380762815;1,4003067902299724;0,2156550902557281;2,299065870248352;0;0;0;1,218004976863015;0;10,66373770312034;0;0;0;0;0;0;0;0;0;0;0;0;4,136616889164757;2,5;0;0,8118743105967736;1,2262177210918752;0;0;11,6499098360656;0,19494802808476128;4,07683786885246;0;10,855972374132069;
559;09:19:00;0;0;0;0;0;0;0;0;0;0;0;4,743461781881823;1,4003947338011464;0,2156733576755263;2,2992039287426893;0;0;0;1,2181288152240886;0;10,663937163174722;0;0;0;0;0;0;0;0;0;0;0;0;4,1381723069706995;2,5;0;0,811993403402953;1,2265818095705192;0;0;11,6499098360656;0,19496572389866904;4,07683786885246;0;10,856709426174072;
560;09:20:00;0;0;0;0;0;0;0;0;0;0;0;4,743814174878758;1,4005959058726793;0,21567578334979676;2,299713598186816;0;0;0;1,2182057622122975;0;10,66399177890507;0;0;0;0;0;0;0;0;0;0;0;0;4,138792245608989;2,5;0;0,812050002150865;1,2266073373181594;0;0;11,6499098360656;0,19500398707379135;4,07683786885246;0;10,858551928914475;
561;09:21:00;0;0;0;0;0;0;0;0;0;0;0;4,744003551809118;1,4005970273226704;0,2156910452925915;2,299923880943105;0;0;0;1,2182099602201601;0;10,664868270713557;0;0;0;0;0;0;0;0;0;0;0;0;4,139289405937815;2,5;0;0,8123272090093553;1,2266077769043842;0;0;11,6499098360656;0,19502258153111718;4,07683786885246;0;10,859299731412655;
562;09:22:00;0;0;0;0;0;0;0;0;0;0;0;4,746404259637325;1,4007032247619184;0,21573999287926202;2,3005673787174654;0;0;0;1,218350850191071;0;10,666628004405295;0;0;0;0;0;0;0;0;0;0;0;0;4,139576961470676;2,5;0;0,8123941475871653;1,2266416692803976;0;0;11,6499098360656;0,19502468056849057;4,07683786885246;0;10,860857583582195;
563;09:23:00;0;0;0;0;0;0;0;0;0;0;0;4,746660427767029;1,400998434017577;0,21574498238474457;2,300694283373098;0;0;0;1,218403692782134;0;10,668150128928135;0;0;0;0;0;0;0;0;0;0;0;0;4,139704928938693;2,5;0;0,8125529809494911;1,2266687610006586;0;0;11,6499098360656;0,19503063351908576;4,07683786885246;0;10,861010215061075;
564;09:24:00;0;0;0;0;0;0;0;0;0;0;0;4,747860617527556;1,401027604305887;0,21575546842088242;2,3013730767942424;0;0;0;1,2184333456988352;0;10,669158494985421;0;0;0;0;0;0;0;0;0;0;0;0;4,139877056108375;2,5;0;0,8126922381158395;1,2269912889478818;0;0;11,6499098360656;0,19505935892907403;4,07683786885246;0;10,862363543018793;
565;09:25:00;0;0;0;0;0;0;0;0;0;0;0;4,7480562890224505;1,4015047742529914;0,2157699887363463;2,3015951063866793;0;0;0;1,218601393213338;0;10,671691428893743;0;0;0;0;0;0;0;0;0;0;0;0;4,141233970960953;2,5;0;0,8127394246771755;1,2271118150148936;0;0;11,6499098360656;0,19512335617713436;4,08342672131148;0;10,864362621740405;
566;09:26:00;0;0;0;0;0;0;0;0;0;0;0;4,748693428625434;1,4015320240978093;0,2157825639389265;2,301773484355289;0;0;0;1,2189743958536319;0;10,673032645165257;0;0;0;0;0;0;0;0;0;0;0;0;4,141710604764138;2,5;0;0,8127539221330922;1,2274325814263838;0;0;11,6499098360656;0,1951301700280054;4,08342672131148;0;10,864390068107463;
567;09:27:00;0;0;0;0;0;0;0;0;0;0;0;4,749223909308719;1,4015577287584182;0,2158293083437575;2,3022335141540777;0;0;0;1,2189897612336509;0;10,674175667933829;0;0;0;0;0;0;0;0;0;0;0;0;4,141821864849518;2,5;0;0,8128253790227591;1,2274415107761825;0;0;11,6499098360656;0,19513759409888703;4,08342672131148;0;10,864588566058611;
568;09:28:00;0;0;0;0;0;0;0;0;0;0;0;4,749275868282715;1,4015714229836396;0,21587571575163841;2,302694443085096;0;0;0;1,2192404514155326;0;10,674216634535375;0;0;0;0;0;0;0;0;0;0;0;0;4,142004566788728;2,5;0;0,8128960166782918;1,2274565455527808;0;0;11,6499098360656;0,19514690728550851;4,08342672131148;0;10,86493285732376;
569;09:29:00;0;0;0;0;0;0;0;0;0;0;0;4,749482221575532;1,401730841189095;0,21591570291579631;2,3030711900463574;0;0;0;1,2193192315751937;0;10,67468131384979;0;0;0;0;0;0;0;0;0;0;0;0;4,142252653839848;2,5;0;0,8129233007888039;1,2276336033730868;0;0;11,6499098360656;0,19517794316887438;4,08342672131148;0;10,867080261508539;
570;09:30:00;0;0;0;0;0;0;0;0;0;0;0;4,749766217958287;1,4021302502773516;0,215923434316548;2,3039365313544793;0;0;0;1,2193490222346868;0;10,675410524922762;0;0;0;0;0;0;0;0;0;0;0;0;4,142684338366317;2,5;0;0,8131392310701616;1,2277410050170245;0;0;11,6499098360656;0,19523350296498837;4,08342672131148;0;10,86726747864163;
571;09:31:00;0;0;0;0;0;0;0;0;0;0;0;4,750475785439994;1,4021433861896886;0,2159237497992313;2,3039788273250066;0;0;0;1,219407760870165;0;10,677534889463582;0;0;0;0;0;0;0;0;0;0;0;0;4,143298403961474;2,5;0;0,8131407807119604;1,2280060129594266;0;0;11,6499098360656;0,19525614965943333;4,08342672131148;0;10,868839823954293;
572;09:32:00;0;0;0;0;0;0;0;0;0;0;0;4,750481715173273;1,4024182502073275;0,21594020185004795;2,3041341426704793;0;0;0;1,2197900076994777;0;10,678378028586891;0;0;0;0;0;0;0;0;0;0;0;0;4,1438590873171295;2,5;0;0,8132381563924608;1,2280575374887621;0;0;11,6499098360656;0,19528959984144123;4,08342672131148;0;10,869869811392066;
573;09:33:00;0;0;0;0;0;0;0;0;0;0;0;4,750814810342054;1,4026376771791014;0,21594372328224148;2,304204462434668;0;0;0;1,2202140860531556;0;10,678617807923509;0;0;0;0;0;0;0;0;0;0;0;0;4,1438982656776275;2,5;0;0,8133039645618918;1,2281888681036814;0;0;11,6499098360656;0,19533753851080457;4,08342672131148;0;10,87060057177771;
574;09:34:00;0;0;0;0;0;0;0;0;0;0;0;4,751060581018388;1,4027841947016326;0,21595056154863124;2,304370711496619;0;0;0;1,220367333060294;0;10,67883447570272;0;0;0;0;0;0;0;0;0;0;0;0;4,144040458864805;2,5;0;0,8134050540907588;1,2282905340115389;0;0;11,6499098360656;0,195371713117092;4,08342672131148;0;10,871600582102849;
575;09:35:00;0;0;0;0;0;0;0;0;0;0;0;4,751437492528176;1,402917705489714;0,21595296909407477;2,3043889796694295;0;0;0;1,2207690461523706;0;10,67907423865715;0;0;0;0;0;0;0;0;0;0;0;0;4,144243774910429;2,5;0;0,8134804998279821;1,228306188548335;0;0;11,6499098360656;0,1954100790178729;4,08342672131148;0;10,871631212750264;
576;09:36:00;0;0;0;0;0;0;0;0;0;0;0;4,751703107859922;1,403459390051218;0,21597466488931383;2,304824607062879;0;0;0;1,2210125394952982;0;10,679152394217605;0;0;0;0;0;0;0;0;0;0;0;0;4,1453085554246725;2,5;0;0,8135470916867413;1,2283715585634736;0;0;11,6499098360656;0,19542082739806588;4,08342672131148;0;10,873144725144144;
577;09:37:00;0;0;0;0;0;0;0;0;0;0;0;4,751759989206356;1,4037236099677453;0,21600824362947346;2,3049342329802442;0;0;0;1,221044277672057;0;10,679199181664636;0;0;0;0;0;0;0;0;0;0;0;0;4,145958203395048;2,5;0;0,8135678314288023;1,228553926673342;0;0;11,6499098360656;0,1954227472745821;4,08342672131148;0;10,873379010930906;
578;09:38:00;0;0;0;0;0;0;0;0;0;0;0;4,751761885932714;1,403901048901603;0,21601465364518735;2,3051090422328695;0;0;0;1,2214704020177047;0;10,681932346019664;0;0;0;0;0;0;0;0;0;0;0;0;4,146054015187971;2,5;0;0,8136038630591433;1,2285943555205283;0;0;11,6499098360656;0,19542937103237645;4,08342672131148;0;10,87370730177996;
579;09:39:00;0;0;0;0;0;0;0;0;0;0;0;4,75183983712446;1,4041314226604897;0,21609193131616292;2,3051916661968175;0;0;0;1,2215945658251366;0;10,682427129936023;0;0;0;0;0;0;0;0;0;0;0;0;4,146122529831631;2,5;0;0,8136960932297923;1,2288205411305821;0;0;11,6499098360656;0,19543604744879695;4,08342672131148;0;10,876508562689969;
580;09:40:00;0;0;0;0;0;0;0;0;0;0;0;4,752850354588073;1,4042756400932799;0,21610767095462183;2,305577755969084;0;0;0;1,2216517666449838;0;10,684079404337204;0;0;0;0;0;0;0;0;0;0;0;0;4,146737021150987;2,5;0;0,8138454009010728;1,2288399239170344;0;0;11,6499098360656;0,19546472219411307;4,08342672131148;0;10,879927623271316;
581;09:41:00;0;0;0;0;0;0;0;0;0;0;0;4,753073769178063;1,4045541559265016;0,21611538122388751;2,305947755281933;0;0;0;1,2216955754450298;0;10,685506758288517;0;0;0;0;0;0;0;0;0;0;0;0;4,146802842304164;2,5;0;0,8138527931874576;1,2289648835936953;0;0;11,6499098360656;0,19560512245353157;4,08342672131148;0;10,881439756499812;
582;09:42:00;0;0;0;0;0;0;0;0;0;0;0;4,7533517200032716;1,4045845631265017;0,21614298883407168;2,3059907580717813;0;0;0;1,2217776483761589;0;10,686093496940119;0;0;0;0;0;0;0;0;0;0;0;0;4,1477092803117666;2,5;0;0,8138848690519929;1,228978752924653;0;0;11,6499098360656;0,1956210830825962;4,08342672131148;0;10,881560651620195;
583;09:43:00;0;0;0;0;0;0;0;0;0;0;0;4,7538821917595;1,404609543625707;0,21620301527286712;2,306913134770503;0;0;0;1,2218691641915662;0;10,686571841207366;0;0;0;0;0;0;0;0;0;0;0;0;4,1479668459775665;2,5;0;0,8140877180376278;1,2293533143938165;0;0;11,6499098360656;0,19562515051471094;4,08342672131148;0;10,883771045369244;
584;09:44:00;0;0;0;0;0;0;0;0;0;0;0;4,753980725861129;1,40509667382821;0,21621181320060295;2,3069381845709738;0;0;0;1,2220904464777298;0;10,687404131514109;0;0;0;0;0;0;0;0;0;0;0;0;4,14854139028753;2,5;0;0,8141262359005874;1,2293892112582456;0;0;11,6499098360656;0,19563401311379974;4,08342672131148;0;10,884063983279239;
585;09:45:00;0;0;0;0;0;0;0;0;0;0;0;4,75403878943945;1,4051032528749774;0,21623658086827807;2,307520898892023;0;0;0;1,2222345501163765;0;10,687420649360956;0;0;0;0;0;0;0;0;0;0;0;0;4,1486918654302585;2,5;0;0,8143737701968522;1,229678250653119;0;0;11,6499098360656;0,1956476370980208;4,08342672131148;0;10,888039607999612;
586;09:46:00;0;0;0;0;0;0;0;0;0;0;0;4,754255901314361;1,4054508685306883;0,21624219799095123;2,3077194923108415;0;0;0;1,2224428240651026;0;10,687462469123384;0;0;0;0;0;0;0;0;0;0;0;0;4,149070375078058;2,5;0;0,8144258166277356;1,2297577114180236;0;0;11,6499098360656;0,1956669506682967;4,08342672131148;0;10,888091025396571;
587;09:47:00;0;0;0;0;0;0;0;0;0;0;0;4,754348784930288;1,4054603719103298;0,2162485737521276;2,3078481050373147;0;0;0;1,222544355031893;0;10,68774880623484;0;0;0;0;0;0;0;0;0;0;0;0;4,149224907961651;2,5;0;0,8145370520369595;1,230259543866752;0;0;11,6499098360656;0,19567551960831134;4,08342672131148;0;10,888193936418999;
588;09:48:00;0;0;0;0;0;0;0;0;0;0;0;4,755304917799711;1,4056858782326047;0,21627449616152253;2,3078984506475484;0;0;0;1,222650471006772;0;10,687801929592402;0;0;0;0;0;0;0;0;0;0;0;0;4,149440134350175;2,5;0;0,8145705014587767;1,2304331450250572;0;0;11,6499098360656;0,1957721336881641;4,08342672131148;0;10,888248085870753;
589;09:49:00;0;0;0;0;0;0;0;0;0;0;0;4,755343516152586;1,4057380309924918;0,21628613626542903;2,3083732836814246;0;0;0;1,222705044773065;0;10,688622924358272;0;0;0;0;0;0;0;0;0;0;0;0;4,15031646866983;2,5;0;0,8146827118268242;1,2304726003944864;0;0;11,6499098360656;0,1957856721385889;4,08342672131148;0;10,889323253424934;
590;09:50:00;0;0;0;0;0;0;0;0;0;0;0;4,755943964037151;1,405910362404175;0,21633246567100073;2,3084954021938073;0;0;0;1,222719616277939;0;10,69015602886081;0;0;0;0;0;0;0;0;0;0;0;0;4,150381501672732;2,5;0;0,8147240838026094;1,2305776134006767;0;0;11,6499098360656;0,19578945354499627;4,08342672131148;0;10,890336846137073;
591;09:51:00;0;0;0;0;0;0;0;0;0;0;0;4,75628664352325;1,4060436427472969;0,2163376297176382;2,3090056301904207;0;0;0;1,222730378378821;0;10,69038266283464;0;0;0;0;0;0;0;0;0;0;0;0;4,151200648314412;2,5;0;0,8148721790879734;1,2305820923492543;0;0;11,6499098360656;0,19579262573030795;4,08342672131148;0;10,890541693963666;
592;09:52:00;0;0;0;0;0;0;0;0;0;0;0;4,7566193427878884;1,406382600992461;0,21634921437531393;2,3095537236587917;0;0;0;1,222911074271181;0;10,69168775662737;0;0;0;0;0;0;0;0;0;0;0;0;4,151320780826243;2,5;0;0,8149449810601601;1,2306379131222056;0;0;11,6499098360656;0,1958020922678354;4,08342672131148;0;10,891937244689538;
593;09:53:00;0;0;0;0;0;0;0;0;0;0;0;4,7566919671508785;1,4063951582064078;0,21636775451943438;2,310702256013565;0;0;0;1,2231572711835044;0;10,692290521852433;0;0;0;0;0;0;0;0;0;0;0;0;4,152350925130052;2,5;0;0,8149838988058479;1,230655430782745;0;0;11,6499098360656;0,19580997169058176;4,08342672131148;0;10,892054968597861;
594;09:54:00;0;0;0;0;0;0;0;0;0;0;0;4,757540987618355;1,4067934775082513;0,21637076037526923;2,310815129920805;0;0;0;1,2231805389225923;0;10,692988193095228;0;0;0;0;0;0;0;0;0;0;0;0;4,152472629935572;2,5;0;0,8151327430140412;1,2308932074755692;0;0;11,6499098360656;0,19582895589621654;4,08342672131148;0;10,894316919467288;
595;09:55:00;0;0;0;0;0;0;0;0;0;0;0;4,757733729800213;1,4071221903669393;0,21637155285498333;2,311165109998786;0;0;0;1,2232798231842488;0;10,693280031027138;0;0;0;0;0;0;0;0;0;0;0;0;4,15295710015843;2,5;0;0,8151788381670905;1,2310104877309807;0;0;11,6499098360656;0,1959358577601429;4,08342672131148;0;10,89482286459297;
596;09:56:00;0;0;0;0;0;0;0;0;0;0;0;4,757743121903204;1,4072124366630776;0,2163797689371091;2,3113803012782483;0;0;0;1,223393696645867;0;10,693670836832505;0;0;0;0;0;0;0;0;0;0;0;0;4,1531057822956186;2,5;0;0,8152114661001807;1,2312668848223627;0;0;11,6499098360656;0,19597105706327766;4,08342672131148;0;10,898378185259284;
597;09:57:00;0;0;0;0;0;0;0;0;0;0;0;4,757807917503546;1,407220856517693;0,21639255799116922;2,3116904878004307;0;0;0;1,2236102249033913;0;10,694155279914815;0;0;0;0;0;0;0;0;0;0;0;0;4,1539057994850275;2,5;0;0,8152277338258469;1,2314717990581223;0;0;11,6499098360656;0,1960013611606912;4,08342672131148;0;10,899363191039939;
